,FN,FP,TN,TP,t,ts
123,7114,6887,46083,8926,12.0,25
124,4850,4777,49363,10020,12.333333333333336,25
125,4519,4752,50628,9111,12.666666666666664,25
126,4785,4651,51529,8045,13.0,25
127,4774,3419,53741,7076,13.333333333333336,25
128,4237,4066,53504,7203,13.666666666666664,25
129,4255,4334,54596,5825,14.333333333333336,25
130,5384,3350,56430,3846,14.666666666666664,25
131,4794,3338,56962,3916,15.0,25
132,3701,4225,56665,4419,15.666666666666664,25
133,2865,3653,57877,4615,17.333333333333332,25
134,3857,2252,60008,2893,20.0,25
135,3079,3234,59696,3001,22.66666666666667,25
136,2895,4062,59518,2535,23.66666666666667,25
137,1891,3295,60945,2879,25.66666666666667,25
138,2308,3299,61621,1782,27.66666666666667,25
139,2804,1616,64044,546,31.33333333333333,25
140,2040,2637,63743,590,34.333333333333336,25
141,1721,1254,65706,329,38.66666666666666,25
142,1350,0,67660,0,46.0,25
143,650,0,68360,0,53.0,25
144,3663,1023,177,64147,2.333333333333333,35
145,8037,2413,887,57673,2.6666666666666665,35
146,7651,5598,1942,53819,3.0,35
147,10794,8289,4811,45116,3.333333333333333,35
148,12631,11257,6383,38739,3.6666666666666665,35
149,14296,10899,9881,33934,4.0,35
150,14983,11761,10939,31327,4.333333333333333,35
151,13671,13715,10475,31149,4.666666666666667,35
152,15251,12977,12093,28689,5.0,35
153,17076,13024,12276,26634,5.333333333333333,35
154,15302,11989,14541,27178,6.333333333333332,35
155,16302,12553,15117,25038,6.666666666666668,35
156,12800,14170,15390,26650,7.0,35
157,14330,11911,19379,23390,7.333333333333332,35
158,12139,13600,19670,23601,7.666666666666668,35
159,13446,10965,23875,20724,8.0,35
160,12445,12244,24576,19745,8.333333333333334,35
161,10800,11255,27565,19390,8.666666666666666,35
162,9284,11043,30787,17896,9.0,35
163,8479,8499,34751,17281,9.333333333333334,35
164,7750,8905,36515,15840,9.666666666666666,35
165,9685,5906,40684,12735,10.0,35
166,7891,8786,39064,13269,10.333333333333334,35
167,8064,5989,42861,12096,10.666666666666666,35
168,7084,8275,41395,12256,11.0,35
169,8082,7524,43186,10218,11.333333333333336,35
170,5581,7149,44801,11479,11.666666666666664,35
171,6015,5987,46983,10025,12.0,35
172,5679,5291,48849,9191,12.333333333333336,35
173,4286,5069,50311,9344,12.666666666666664,35
174,4156,6116,50064,8674,13.0,35
175,4152,3785,53375,7698,13.333333333333336,35
176,3976,4527,53043,7464,13.666666666666664,35
177,4983,3399,55531,5097,14.333333333333336,35
178,4416,3499,56281,4814,14.666666666666664,35
179,4529,3245,57055,4181,15.0,35
180,3949,3249,57641,4171,15.666666666666664,35
181,3872,2922,58608,3608,17.333333333333332,35
182,3471,2648,59612,3279,20.0,35
183,2707,2989,59941,3373,22.66666666666667,35
184,2562,2914,60666,2868,23.66666666666667,35
185,2132,3296,60944,2638,25.66666666666667,35
186,2335,3006,61914,1755,27.66666666666667,35
187,1846,3206,62454,1504,31.33333333333333,35
188,1863,2049,64331,767,34.333333333333336,35
189,1701,1740,65220,349,38.66666666666666,35
190,1100,941,66719,250,46.0,35
191,650,0,68360,0,53.0,35
192,2002,1046,154,65808,2.333333333333333,45
193,4331,2842,458,61379,2.6666666666666665,45
194,7175,5058,2482,54295,3.0,45
195,9651,7817,5283,46259,3.333333333333333,45
196,10846,11582,6058,40524,3.6666666666666665,45
197,14835,10561,10219,33395,4.0,45
198,13683,12005,10695,32627,4.333333333333333,45
199,14924,12440,11750,29896,4.666666666666667,45
200,14716,12436,12634,29224,5.0,45
201,15463,13303,11997,28247,5.333333333333333,45
202,13425,12927,13603,29055,6.333333333333332,45
203,13998,12327,15343,27342,6.666666666666668,45
204,14184,13377,16183,25266,7.0,45
205,13414,13285,18005,24306,7.333333333333332,45
206,12512,12603,20667,23228,7.666666666666668,45
207,11461,13001,21839,22709,8.0,45
208,10640,11672,25148,21550,8.333333333333334,45
209,11308,9750,29070,18882,8.666666666666666,45
210,10456,10191,31639,16724,9.0,45
211,7233,9711,33539,18527,9.333333333333334,45
212,8731,7502,37918,14859,9.666666666666666,45
213,8131,6605,39985,14289,10.0,45
214,6113,7379,40471,15047,10.333333333333334,45
215,6865,7540,41310,13295,10.666666666666666,45
216,5954,6532,43138,13386,11.0,45
217,6626,7312,43398,11674,11.333333333333336,45
218,6768,6176,45774,10292,11.666666666666664,45
219,4961,6200,46770,11079,12.0,45
220,4913,5755,48385,9957,12.333333333333336,45
221,3598,6628,48752,10032,12.666666666666664,45
222,4141,5376,50794,8699,13.0,45
223,3285,4563,52597,8565,13.333333333333336,45
224,3161,4627,52943,8279,13.666666666666664,45
225,3708,4350,54580,6372,14.333333333333336,45
226,4423,3510,56270,4807,14.666666666666664,45
227,4542,2635,57665,4168,15.0,45
228,4092,3621,57269,4028,15.666666666666664,45
229,3556,2380,59150,3924,17.333333333333332,45
230,3590,2220,60040,3160,20.0,45
231,3091,2220,60710,2989,22.66666666666667,45
