FN,FP,TN,TP,sr
30.9,16.7,360.3,5.1,101
19.5,7.6,369.4,16.5,201
12.6,10.2,366.8,23.4,301
5.9,7.6,369.4,30.1,401
7.2,7.9,369.1,28.8,501
8.6,8.4,368.6,27.4,601
9.4,6.7,370.3,26.6,701
7.6,6.3,370.7,28.4,801
7.6,5.3,371.7,28.4,901
5.9,8.7,368.3,30.1,1001
4.7,6.1,370.9,31.3,1101
5.9,6.6,370.4,30.1,1201
6.2,4.8,372.2,29.8,1301
7.5,7.1,369.9,28.5,1401
8.5,3.9,373.1,27.5,1501
6.1,7.2,369.8,29.9,1601
8.1,4.3,372.7,27.9,1701
7.4,4.6,372.4,28.6,1801
7.7,5.7,371.3,28.3,1901
5.3,4.6,372.4,30.7,2001
6.3,4.8,372.2,29.7,2101
6.1,4.4,372.6,29.9,2201
5.9,3.9,373.1,30.1,2301
5.1,4.4,372.6,30.9,2401
6.4,4.0,373.0,29.6,2501
5.5,3.8,373.2,30.5,2601
4.9,3.8,373.2,31.1,2701
6.1,3.5,373.5,29.9,2801
5.4,3.2,373.8,30.6,2901
5.6,5.0,372.0,30.4,3001
6.0,5.5,371.5,30.0,3101
5.6,4.7,372.3,30.4,3201
6.4,4.0,373.7,28.9,3301
5.5,3.8,373.2,30.5,3401
6.2,4.2,372.8,29.8,3501
4.7,3.9,374.1,30.3,3601
3.6,4.3,372.7,32.4,3701
