FN,FP,TN,TP,sr
14.8,9.7,367.3,21.2,101
12.4,7.3,369.7,23.6,201
9.2,8.7,368.3,26.8,301
11.4,7.0,370.0,24.6,401
11.5,6.5,370.5,24.5,501
11.6,7.2,369.8,24.4,601
8.4,6.3,370.7,27.6,701
9.4,7.2,369.8,26.6,801
9.1,8.1,368.9,26.9,901
7.4,6.4,370.6,28.6,1001
6.6,7.3,369.7,29.4,1101
7.1,5.9,371.1,28.9,1201
7.0,5.6,371.4,29.0,1301
8.7,8.7,368.3,27.3,1401
8.5,4.3,372.7,27.5,1501
7.6,5.6,371.4,28.4,1601
7.5,4.6,372.4,28.5,1701
6.7,5.2,371.8,29.3,1801
6.6,5.1,371.9,29.4,1901
7.1,4.7,372.3,28.9,2001
7.4,5.6,371.4,28.6,2101
6.7,4.5,372.5,29.3,2201
6.3,4.2,372.8,29.7,2301
6.6,4.2,372.8,29.4,2401
7.2,4.4,372.6,28.8,2501
5.9,4.9,372.1,30.1,2601
6.0,3.7,373.3,30.0,2701
5.6,3.6,373.4,30.4,2801
5.8,5.9,371.1,30.2,2901
5.6,4.6,372.4,30.4,3001
5.6,3.8,373.2,30.4,3101
6.6,4.4,372.6,29.4,3201
4.5,4.5,373.4,30.6,3301
4.7,4.7,372.3,31.3,3401
4.9,4.1,372.9,31.1,3501
5.0,3.6,374.4,30.0,3601
4.9,4.1,372.9,31.1,3701
