FN,FP,TN,TP,sr
12.2,9.1,367.9,23.8,101
8.5,8.4,368.6,27.5,201
10.3,8.6,368.4,25.7,301
9.6,8.4,368.6,26.4,401
8.0,8.6,368.4,28.0,501
6.4,7.7,369.3,29.6,601
8.8,7.3,369.7,27.2,701
7.9,8.2,368.8,28.1,801
8.7,8.2,368.8,27.3,901
7.2,6.7,370.3,28.8,1001
6.2,5.7,371.3,29.8,1101
7.8,5.8,371.2,28.2,1201
6.0,6.3,370.7,30.0,1301
6.0,4.7,372.3,30.0,1401
6.1,7.5,369.5,29.9,1501
5.4,6.2,370.8,30.6,1601
7.5,6.7,370.3,28.5,1701
5.5,4.7,372.3,30.5,1801
6.9,5.3,371.7,29.1,1901
6.5,5.7,371.3,29.5,2001
6.2,3.8,373.2,29.8,2101
5.8,5.8,371.2,30.2,2201
5.0,5.3,371.7,31.0,2301
5.5,5.4,371.6,30.5,2401
5.6,5.6,371.4,30.4,2501
4.7,5.0,372.0,31.3,2601
5.5,5.1,371.9,30.5,2701
5.1,3.9,373.1,30.9,2801
5.5,4.8,372.2,30.5,2901
5.6,5.1,371.9,30.4,3001
5.0,5.2,371.8,31.0,3101
5.3,5.9,371.1,30.7,3201
4.8,4.5,373.3,30.4,3301
4.3,3.7,373.3,31.7,3401
4.3,3.6,373.4,31.7,3501
4.3,4.9,373.1,30.7,3601
6.1,4.3,372.7,29.9,3701
