FN,FP,TN,TP,sr
25.9,13.7,363.3,10.1,101
14.4,8.3,368.7,21.6,201
9.9,6.9,370.1,26.1,301
10.9,7.6,369.4,25.1,401
9.0,7.1,369.9,27.0,501
8.8,6.3,370.7,27.2,601
9.5,6.9,370.1,26.5,701
8.5,5.8,371.2,27.5,801
9.6,4.3,372.7,26.4,901
9.4,4.9,372.1,26.6,1001
9.4,5.4,371.6,26.6,1101
9.2,4.9,372.1,26.8,1201
6.2,6.4,370.6,29.8,1301
7.0,6.8,370.2,29.0,1401
6.8,5.8,371.2,29.2,1501
6.9,5.2,371.8,29.1,1601
6.2,5.5,371.5,29.8,1701
7.5,5.0,372.0,28.5,1801
6.0,5.0,372.0,30.0,1901
5.7,5.5,371.5,30.3,2001
5.3,4.4,372.6,30.7,2101
7.9,4.3,372.7,28.1,2201
6.5,3.7,373.3,29.5,2301
6.2,5.5,371.5,29.8,2401
7.0,4.1,372.9,29.0,2501
5.1,4.7,372.3,30.9,2601
5.7,5.2,371.8,30.3,2701
6.4,3.1,373.9,29.6,2801
6.1,3.4,373.6,29.9,2901
5.9,4.2,372.8,30.1,3001
6.3,4.0,373.0,29.7,3101
4.7,3.2,373.8,31.3,3201
5.9,3.6,374.1,29.4,3301
5.5,5.5,371.5,30.5,3401
5.9,3.1,373.9,30.1,3501
4.2,4.8,373.2,30.8,3601
5.8,3.9,373.1,30.2,3701
