FN,FP,TN,TP,sr
21.3,14.8,362.2,14.7,101
12.6,7.9,369.1,23.4,201
8.7,8.3,368.7,27.3,301
9.1,6.1,370.9,26.9,401
9.6,7.5,369.5,26.4,501
7.2,5.4,371.6,28.8,601
10.1,8.6,368.4,25.9,701
8.9,6.7,370.3,27.1,801
7.5,6.8,370.2,28.5,901
8.9,5.6,371.4,27.1,1001
7.3,6.3,370.7,28.7,1101
8.7,5.9,371.1,27.3,1201
8.1,5.5,371.5,27.9,1301
8.0,5.8,371.2,28.0,1401
7.6,5.7,371.3,28.4,1501
6.7,4.8,372.2,29.3,1601
6.8,4.8,372.2,29.2,1701
5.5,4.8,372.2,30.5,1801
7.4,4.9,372.1,28.6,1901
6.1,5.0,372.0,29.9,2001
6.4,4.6,372.4,29.6,2101
6.0,5.6,371.4,30.0,2201
7.1,6.0,371.0,28.9,2301
6.9,4.5,372.5,29.1,2401
6.6,5.1,371.9,29.4,2501
5.8,5.6,371.4,30.2,2601
6.3,4.1,372.9,29.7,2701
5.6,4.2,372.8,30.4,2801
6.3,5.7,371.3,29.7,2901
6.1,4.8,372.2,29.9,3001
5.9,3.4,373.6,30.1,3101
6.5,4.4,372.6,29.5,3201
4.6,3.4,374.3,30.7,3301
5.8,3.7,373.3,30.2,3401
6.1,4.3,372.7,29.9,3501
4.4,4.1,373.9,30.6,3601
4.3,3.6,373.4,31.7,3701
