FN,FP,TN,TP,sr
17.0,9.4,367.6,19.0,101
11.7,10.5,366.5,24.3,201
10.2,8.1,368.9,25.8,301
11.3,7.9,369.1,24.7,401
12.8,8.3,368.7,23.2,501
9.7,7.6,369.4,26.3,601
7.2,8.1,368.9,28.8,701
9.5,6.0,371.0,26.5,801
6.9,6.8,370.2,29.1,901
7.6,8.7,368.3,28.4,1001
8.7,6.5,370.5,27.3,1101
8.3,5.7,371.3,27.7,1201
8.6,6.7,370.3,27.4,1301
7.1,5.6,371.4,28.9,1401
6.6,5.3,371.7,29.4,1501
7.5,5.2,371.8,28.5,1601
6.8,7.3,369.7,29.2,1701
6.5,6.4,370.6,29.5,1801
5.2,5.3,371.7,30.8,1901
7.2,5.2,371.8,28.8,2001
5.1,5.2,371.8,30.9,2101
4.5,5.8,371.2,31.5,2201
4.2,6.1,370.9,31.8,2301
6.8,4.5,372.5,29.2,2401
6.0,5.4,371.6,30.0,2501
5.1,5.4,371.6,30.9,2601
6.3,4.9,372.1,29.7,2701
6.2,3.6,373.4,29.8,2801
4.5,5.1,371.9,31.5,2901
4.8,4.0,373.0,31.2,3001
3.9,5.2,371.8,32.1,3101
4.7,4.9,372.1,31.3,3201
6.0,4.1,373.6,29.3,3301
5.0,4.2,372.8,31.0,3401
4.6,4.6,372.4,31.4,3501
4.4,5.3,372.7,30.6,3601
3.9,4.5,372.5,32.1,3701
