FN,FP,TN,TP,sr
34.3,8.3,368.7,1.7,101
17.5,6.2,370.8,18.5,201
10.3,6.5,370.5,25.7,301
8.0,7.0,370.0,28.0,401
7.7,6.2,370.8,28.3,501
7.0,5.9,371.1,29.0,601
8.0,6.6,370.4,28.0,701
7.9,5.2,371.8,28.1,801
7.9,6.3,370.7,28.1,901
6.3,6.4,370.6,29.7,1001
6.8,6.2,370.8,29.2,1101
5.2,5.9,371.1,30.8,1201
7.0,6.5,370.5,29.0,1301
8.5,5.2,371.8,27.5,1401
7.2,5.4,371.6,28.8,1501
6.1,6.2,370.8,29.9,1601
5.7,5.0,372.0,30.3,1701
6.3,5.7,371.3,29.7,1801
5.6,5.7,371.3,30.4,1901
7.3,4.9,372.1,28.7,2001
8.4,3.6,373.4,27.6,2101
6.0,4.7,372.3,30.0,2201
5.6,5.8,371.2,30.4,2301
7.6,5.3,371.7,28.4,2401
4.3,5.4,371.6,31.7,2501
6.6,4.7,372.3,29.4,2601
5.9,4.5,372.5,30.1,2701
4.5,4.8,372.2,31.5,2801
5.9,4.7,372.3,30.1,2901
6.0,5.1,371.9,30.0,3001
5.6,4.7,372.3,30.4,3101
5.3,3.6,373.4,30.7,3201
5.6,4.1,373.3,30.0,3301
4.9,3.5,373.5,31.1,3401
5.2,2.7,374.3,30.8,3501
5.1,3.6,374.4,29.9,3601
6.0,2.2,374.8,30.0,3701
