FN,FP,TN,TP,sr
14.8,7.5,369.5,21.2,101
15.3,7.1,369.9,20.7,201
10.1,8.7,368.3,25.9,301
10.3,7.9,369.1,25.7,401
11.1,6.6,370.4,24.9,501
8.6,7.3,369.7,27.4,601
10.8,7.1,369.9,25.2,701
9.0,5.6,371.4,27.0,801
7.3,6.1,370.9,28.7,901
7.1,5.4,371.6,28.9,1001
6.2,7.5,369.5,29.8,1101
7.3,5.6,371.4,28.7,1201
8.1,5.9,371.1,27.9,1301
6.6,6.4,370.6,29.4,1401
7.5,5.2,371.8,28.5,1501
7.8,5.6,371.4,28.2,1601
6.4,3.7,373.3,29.6,1701
4.9,4.7,372.3,31.1,1801
4.0,4.5,372.5,32.0,1901
5.3,5.2,371.8,30.7,2001
5.3,5.9,371.1,30.7,2101
6.0,4.1,372.9,30.0,2201
5.0,4.5,372.5,31.0,2301
6.5,3.6,373.4,29.5,2401
4.3,3.8,373.2,31.7,2501
4.3,5.1,371.9,31.7,2601
5.8,5.5,371.5,30.2,2701
5.4,4.6,372.4,30.6,2801
6.3,4.7,372.3,29.7,2901
4.6,4.0,373.0,31.4,3001
5.0,4.3,372.7,31.0,3101
4.7,5.1,371.9,31.3,3201
4.9,4.3,373.0,30.8,3301
3.8,4.2,372.8,32.2,3401
4.0,5.6,371.4,32.0,3501
3.3,4.8,373.2,31.7,3601
6.3,4.7,372.3,29.7,3701
