FN,FP,MSE,TN,TP,sr
35.0,7.8,0.008240878190876297,369.2,1.0,101
25.4,1.9,0.004510150729229043,375.1,10.6,201
10.1,9.8,0.002330619808575655,367.2,25.9,301
10.6,4.3,0.002375225752580934,372.7,25.4,401
10.3,4.6,0.001978651613367817,372.4,25.7,501
4.5,12.3,0.0017841360607163276,364.7,31.5,601
6.2,7.8,0.001619295986962597,369.2,29.8,701
6.2,8.7,0.0018325074294567455,368.3,29.8,801
6.0,8.4,0.0016577343793960377,368.6,30.0,901
6.5,7.2,0.0020160168889550726,369.8,29.5,1001
9.0,5.3,0.0016405317249635527,371.7,27.0,1101
6.9,5.5,0.0015155222094844231,371.5,29.1,1201
7.4,5.7,0.0021434057226146137,371.3,28.6,1301
6.3,5.8,0.0016766300943080864,371.2,29.7,1401
6.9,5.0,0.0014861549780246471,372.0,29.1,1501
8.0,6.0,0.001923619664215867,371.0,28.0,1601
7.2,5.4,0.0029329445236414764,371.6,28.8,1701
6.4,5.2,0.0015678362514081902,371.8,29.6,1801
7.1,3.8,0.0023379977854612595,373.2,28.9,1901
5.3,5.6,0.0014864356271348084,371.4,30.7,2001
6.6,4.4,0.0009618494019581246,372.6,29.4,2101
5.8,4.8,0.0013282224070062711,372.2,30.2,2201
7.2,3.0,0.0016488211667134152,374.0,28.8,2301
6.7,4.0,0.0011995245831306063,373.0,29.3,2401
6.9,5.1,0.0021476700247184443,371.9,29.1,2501
6.0,4.2,0.0014885083779089415,372.8,30.0,2601
5.9,4.5,0.001245205424046624,372.5,30.1,2701
5.6,4.4,0.001226319039599057,372.6,30.4,2801
4.7,5.5,0.000982878842973194,371.5,31.3,2901
6.2,3.2,0.0008648972809742553,373.8,29.8,3001
6.1,4.8,0.0009095789389778422,372.2,29.9,3101
5.7,4.4,0.0010584449394569879,372.6,30.3,3201
6.3,4.8,0.0011709656008403384,372.5,29.4,3301
6.1,5.4,0.0014312754858545446,371.6,29.9,3401
5.5,3.8,0.001224412840989051,373.2,30.5,3501
5.7,5.6,0.0014915687281498397,372.4,29.3,3601
5.4,5.4,0.0010956108649664382,371.6,30.6,3701
