FN,FP,MSE,TN,TP,sr
18.9,10.2,0.0071536275870026644,366.8,17.1,101
9.3,10.5,0.002899953988513908,366.5,26.7,201
9.6,8.8,0.0017144903248503996,368.2,26.4,301
7.3,9.0,0.0016247035133666056,368.0,28.7,401
8.6,8.2,0.002366123962720658,368.8,27.4,501
10.6,7.6,0.002006519301113424,369.4,25.4,601
9.1,6.8,0.002538842966659904,370.2,26.9,701
8.4,6.4,0.0011479260367522972,370.6,27.6,801
9.6,5.9,0.0020903938625703245,371.1,26.4,901
7.4,8.6,0.001796233322702984,368.4,28.6,1001
7.0,8.1,0.0019274963060084411,368.9,29.0,1101
6.7,5.8,0.0018970286296113921,371.2,29.3,1201
7.4,7.0,0.0014992730912052063,370.0,28.6,1301
6.6,7.3,0.0018861859582232562,369.7,29.4,1401
5.0,7.0,0.0014278583342833295,370.0,31.0,1501
6.5,5.5,0.0018583698894962942,371.5,29.5,1601
5.3,6.0,0.002143065465693481,371.0,30.7,1701
6.9,7.0,0.0014593631549654463,370.0,29.1,1801
5.6,5.1,0.0010016407761671239,371.9,30.4,1901
6.3,5.7,0.0018294451221810225,371.3,29.7,2001
5.7,4.6,0.0007474539524616118,372.4,30.3,2101
5.1,6.5,0.0014567516007983321,370.5,30.9,2201
6.1,7.6,0.0015481294402320913,369.4,29.9,2301
6.2,6.2,0.0020934938475147126,370.8,29.8,2401
5.7,2.9,0.001294219242711899,374.1,30.3,2501
5.2,5.9,0.0017731363708734192,371.1,30.8,2601
5.0,5.7,0.001288928285123314,371.3,31.0,2701
5.0,3.4,0.0008272202135949583,373.6,31.0,2801
5.7,5.6,0.0011925361918541265,371.4,30.3,2901
6.6,4.1,0.001291455414500429,372.9,29.4,3001
6.3,3.9,0.0013991358414522858,373.1,29.7,3101
6.0,4.8,0.0008252328304998973,372.2,30.0,3201
4.7,4.3,0.0017116597345807275,373.3,30.7,3301
4.2,3.9,0.0007960873869644174,373.1,31.8,3401
5.4,4.8,0.0018817249266518325,372.2,30.6,3501
3.7,5.0,0.0012523127681265918,373.0,31.3,3601
4.4,4.2,0.0012225961518646284,372.8,31.6,3701
