FN,FP,TN,TP,sr
18.0,15.9,361.1,18.0,101
12.8,6.9,370.1,23.2,201
9.2,8.3,368.7,26.8,301
8.0,7.4,369.6,28.0,401
9.8,7.7,369.3,26.2,501
8.0,6.9,370.1,28.0,601
9.1,7.0,370.0,26.9,701
7.0,7.9,369.1,29.0,801
8.1,6.3,370.7,27.9,901
8.3,5.2,371.8,27.7,1001
7.8,8.6,368.4,28.2,1101
6.9,6.5,370.5,29.1,1201
6.9,5.9,371.1,29.1,1301
6.1,6.5,370.5,29.9,1401
7.9,5.3,371.7,28.1,1501
7.5,6.0,371.0,28.5,1601
6.2,4.7,372.3,29.8,1701
8.0,4.1,372.9,28.0,1801
6.3,5.9,371.1,29.7,1901
6.0,4.5,372.5,30.0,2001
5.3,5.8,371.2,30.7,2101
5.1,4.8,372.2,30.9,2201
5.8,5.6,371.4,30.2,2301
6.0,5.5,371.5,30.0,2401
7.2,4.9,372.1,28.8,2501
6.6,4.9,372.1,29.4,2601
5.1,5.2,371.8,30.9,2701
5.3,4.0,373.0,30.7,2801
7.1,5.1,371.9,28.9,2901
5.9,4.4,372.6,30.1,3001
5.9,4.5,372.5,30.1,3101
6.7,4.1,372.9,29.3,3201
7.0,4.5,373.1,28.4,3301
4.5,3.6,373.4,31.5,3401
5.9,5.4,371.6,30.1,3501
5.0,3.8,374.2,30.0,3601
3.6,3.8,373.2,32.4,3701
