FN,FP,TN,TP,sr
20.8,12.2,364.8,15.2,101
9.8,8.6,368.4,26.2,201
11.7,5.3,371.7,24.3,301
8.5,10.3,366.7,27.5,401
8.0,7.9,369.1,28.0,501
10.1,6.6,370.4,25.9,601
9.3,6.3,370.7,26.7,701
8.7,7.0,370.0,27.3,801
8.7,6.0,371.0,27.3,901
9.0,7.1,369.9,27.0,1001
7.2,6.9,370.1,28.8,1101
8.6,6.9,370.1,27.4,1201
6.9,5.3,371.7,29.1,1301
6.5,4.4,372.6,29.5,1401
5.5,4.3,372.7,30.5,1501
7.3,7.0,370.0,28.7,1601
6.6,5.4,371.6,29.4,1701
7.3,4.4,372.6,28.7,1801
6.9,5.0,372.0,29.1,1901
5.5,6.4,370.6,30.5,2001
6.1,5.2,371.8,29.9,2101
6.1,3.1,373.9,29.9,2201
6.2,5.0,372.0,29.8,2301
5.8,5.9,371.1,30.2,2401
6.5,5.2,371.8,29.5,2501
4.9,5.1,371.9,31.1,2601
6.3,4.0,373.0,29.7,2701
6.1,4.7,372.3,29.9,2801
6.5,3.9,373.1,29.5,2901
5.4,5.3,371.7,30.6,3001
5.8,4.8,372.2,30.2,3101
5.7,5.7,371.3,30.3,3201
5.5,3.5,374.1,29.9,3301
6.5,4.6,372.4,29.5,3401
5.1,4.7,372.3,30.9,3501
6.1,4.1,373.9,28.9,3601
5.4,3.3,373.7,30.6,3701
