FN,FP,MSE,TN,TP,sr
11.2,13.7,0.006199274319730994,363.3,24.8,101
11.6,9.7,0.00569748789346247,367.3,24.4,201
9.3,8.5,0.0036126207395450367,368.5,26.7,301
7.6,8.3,0.0023044570280692494,368.7,28.4,401
8.1,7.6,0.002140587167070218,369.4,27.9,501
6.1,7.6,0.0021028943951215497,369.4,29.9,601
7.6,8.5,0.0026030867928138013,368.5,28.4,701
6.8,8.0,0.0012689341179370462,369.0,29.2,801
8.0,7.8,0.003001165872119128,369.2,28.0,901
7.0,9.3,0.0036719748574820825,367.7,29.0,1001
7.1,6.4,0.003097985240383051,370.6,28.9,1101
9.1,6.7,0.001691918511942131,370.3,26.9,1201
6.5,8.2,0.002905898829638404,368.8,29.5,1301
7.1,7.1,0.002335159756651501,369.9,28.9,1401
6.2,7.2,0.0021146868617620603,369.8,29.8,1501
6.4,6.1,0.0016738077174579871,370.9,29.6,1601
7.6,6.8,0.0023256598559344087,370.2,28.4,1701
6.8,6.5,0.0012023214174237168,370.5,29.2,1801
5.7,6.4,0.0017493964393081793,370.6,30.3,1901
6.5,4.4,0.002288399574826714,372.6,29.5,2001
6.3,4.5,0.001375284775743455,372.5,29.7,2101
6.1,5.6,0.0006280247391258638,371.4,29.9,2201
7.7,4.9,0.0030241077774385084,372.1,28.3,2301
6.1,4.2,0.002031626918320568,372.8,29.9,2401
6.4,4.4,0.0012431815924438233,372.6,29.6,2501
4.3,4.4,0.0010206547576961148,372.6,31.7,2601
6.6,4.0,0.0018081419947765718,373.0,29.4,2701
6.3,5.6,0.0021518410615550395,371.4,29.7,2801
5.0,4.2,0.0017246736513393426,372.8,31.0,2901
5.3,5.8,0.0010378353692117395,371.2,30.7,3001
4.7,5.3,0.0012173956064027657,371.7,31.3,3101
4.8,6.0,0.0015732467758916822,371.0,31.2,3201
5.9,5.9,0.0024625516887691714,371.3,29.9,3301
5.3,4.4,0.0010254212645744863,372.6,30.7,3401
3.8,5.9,0.0012167857241121858,371.1,32.2,3501
5.9,4.7,0.001018149192921055,373.3,29.1,3601
5.8,2.9,0.0013674556078537283,374.1,30.2,3701
