FN,FP,MSE,TN,TP,sr
36.0,0.0,0.006793635627902072,377.0,0.0,101
24.6,5.2,0.0045346050142386005,371.8,11.4,201
9.8,8.2,0.0021708107235885498,368.8,26.2,301
11.4,4.0,0.0021628106060896887,373.0,24.6,401
8.2,7.1,0.0018880936317122656,369.9,27.8,501
7.7,7.4,0.0023197735809930495,369.6,28.3,601
5.5,8.7,0.0018330054758942456,368.3,30.5,701
6.6,5.9,0.0023538324948846096,371.1,29.4,801
5.2,7.1,0.0013868545618222414,369.9,30.8,901
5.1,7.3,0.001613908751567171,369.7,30.9,1001
6.1,6.8,0.001277168481389752,370.2,29.9,1101
6.5,5.4,0.0016537629074115687,371.6,29.5,1201
6.1,5.6,0.002289625713413982,371.4,29.9,1301
8.5,4.7,0.0018965767173061854,372.3,27.5,1401
7.2,4.1,0.0011262508562348188,372.9,28.8,1501
5.6,5.2,0.0015226897201434568,371.8,30.4,1601
7.5,5.6,0.001000451824161437,371.4,28.5,1701
6.0,6.2,0.0013231596050834868,370.8,30.0,1801
7.8,3.7,0.001761996049431834,373.3,28.2,1901
6.8,5.0,0.0017099867173913635,372.0,29.2,2001
7.1,4.4,0.0013170640851924737,372.6,28.9,2101
7.2,5.2,0.0013852213906135394,371.8,28.8,2201
6.5,5.2,0.0011418673748198158,371.8,29.5,2301
6.6,4.5,0.0015959854263359167,372.5,29.4,2401
7.5,3.4,0.0013347450076819079,373.6,28.5,2501
6.7,4.3,0.001693693001484908,372.7,29.3,2601
6.4,4.5,0.0014799060181370333,372.5,29.6,2701
6.5,4.6,0.0014920770186809173,372.4,29.5,2801
6.5,4.4,0.002022809205664877,372.6,29.5,2901
5.6,5.0,0.0016588340249869213,372.0,30.4,3001
5.7,4.7,0.0011996602516205308,372.3,30.3,3101
4.9,4.9,0.001134006855780549,372.1,31.1,3201
4.5,3.8,0.0009359290326834546,373.6,31.1,3301
4.2,4.9,0.0011186141250437908,372.1,31.8,3401
4.2,3.9,0.0014045901156776845,373.1,31.8,3501
4.3,4.8,0.0007443637248929755,373.2,30.7,3601
4.9,4.6,0.0011630260590874471,372.4,31.1,3701
