FN,FP,TN,TP,sr
31.1,15.6,361.4,4.9,101
19.1,6.3,370.7,16.9,201
11.7,5.4,371.6,24.3,301
9.5,5.9,371.1,26.5,401
7.2,7.3,369.7,28.8,501
8.1,5.9,371.1,27.9,601
8.7,7.9,369.1,27.3,701
7.2,8.1,368.9,28.8,801
6.2,6.0,371.0,29.8,901
8.4,6.5,370.5,27.6,1001
6.5,5.6,371.4,29.5,1101
8.4,5.1,371.9,27.6,1201
6.6,6.1,370.9,29.4,1301
8.6,4.9,372.1,27.4,1401
6.4,5.4,371.6,29.6,1501
6.5,5.9,371.1,29.5,1601
5.5,5.5,371.5,30.5,1701
5.9,3.8,373.2,30.1,1801
5.9,4.1,372.9,30.1,1901
5.7,6.1,370.9,30.3,2001
6.9,5.5,371.5,29.1,2101
7.2,5.6,371.4,28.8,2201
5.8,3.9,373.1,30.2,2301
5.7,4.2,372.8,30.3,2401
5.3,4.7,372.3,30.7,2501
6.0,4.0,373.0,30.0,2601
4.7,4.2,372.8,31.3,2701
6.9,4.0,373.0,29.1,2801
5.5,3.5,373.5,30.5,2901
4.8,5.2,371.8,31.2,3001
7.3,4.3,372.7,28.7,3101
4.7,5.3,371.7,31.3,3201
5.0,3.7,373.8,30.5,3301
5.3,3.3,373.7,30.7,3401
6.1,4.1,372.9,29.9,3501
4.7,4.3,373.7,30.3,3601
5.3,4.6,372.4,30.7,3701
