FN,FP,TN,TP,sr
28.6,20.0,357.0,7.4,101
15.8,6.3,370.7,20.2,201
9.7,6.1,370.9,26.3,301
7.1,6.3,370.7,28.9,401
6.6,6.4,370.6,29.4,501
6.4,9.0,368.0,29.6,601
7.3,7.3,369.7,28.7,701
8.0,7.6,369.4,28.0,801
8.8,7.9,369.1,27.2,901
9.7,5.8,371.2,26.3,1001
7.2,9.0,368.0,28.8,1101
6.5,5.8,371.2,29.5,1201
6.7,6.4,370.6,29.3,1301
7.1,5.5,371.5,28.9,1401
6.9,5.1,371.9,29.1,1501
6.5,4.3,372.7,29.5,1601
7.4,3.1,373.9,28.6,1701
6.3,5.1,371.9,29.7,1801
6.8,5.1,371.9,29.2,1901
5.7,4.6,372.4,30.3,2001
8.2,3.9,373.1,27.8,2101
7.0,4.4,372.6,29.0,2201
6.7,5.2,371.8,29.3,2301
5.8,5.2,371.8,30.2,2401
6.5,4.9,372.1,29.5,2501
5.4,3.7,373.3,30.6,2601
6.2,3.9,373.1,29.8,2701
6.3,5.1,371.9,29.7,2801
5.3,4.0,373.0,30.7,2901
6.4,4.1,372.9,29.6,3001
4.5,3.4,373.6,31.5,3101
5.7,3.8,373.2,30.3,3201
5.7,4.0,373.5,29.8,3301
5.2,4.1,372.9,30.8,3401
5.0,4.2,372.8,31.0,3501
6.7,4.0,374.0,28.3,3601
5.5,5.0,372.0,30.5,3701
