FN,FP,TN,TP,sr
14.2,14.2,362.8,21.8,101
11.7,9.5,367.5,24.3,201
8.0,8.9,368.1,28.0,301
9.5,7.3,369.7,26.5,401
9.3,7.2,369.8,26.7,501
8.4,8.2,368.8,27.6,601
8.3,6.3,370.7,27.7,701
6.8,6.9,370.1,29.2,801
9.9,5.8,371.2,26.1,901
9.0,5.7,371.3,27.0,1001
8.4,6.0,371.0,27.6,1101
7.6,5.4,371.6,28.4,1201
8.8,5.5,371.5,27.2,1301
6.4,5.7,371.3,29.6,1401
8.0,7.2,369.8,28.0,1501
7.4,6.4,370.6,28.6,1601
6.1,4.4,372.6,29.9,1701
6.9,4.7,372.3,29.1,1801
6.4,5.4,371.6,29.6,1901
7.7,4.2,372.8,28.3,2001
7.4,5.0,372.0,28.6,2101
7.1,5.4,371.6,28.9,2201
5.9,5.1,371.9,30.1,2301
6.0,6.0,371.0,30.0,2401
6.2,4.1,372.9,29.8,2501
5.4,4.1,372.9,30.6,2601
6.6,5.2,371.8,29.4,2701
6.4,3.5,373.5,29.6,2801
6.3,4.1,372.9,29.7,2901
7.2,5.0,372.0,28.8,3001
5.9,4.4,372.6,30.1,3101
6.2,4.2,372.8,29.8,3201
4.4,5.0,372.6,31.0,3301
4.9,3.6,373.4,31.1,3401
5.6,4.4,372.6,30.4,3501
5.7,5.5,372.5,29.3,3601
4.5,4.5,372.5,31.5,3701
