FN,FP,TN,TP,sr
33.1,16.7,360.3,2.9,101
21.9,9.3,367.7,14.1,201
12.2,5.1,371.9,23.8,301
9.2,4.9,372.1,26.8,401
9.2,6.7,370.3,26.8,501
8.0,6.8,370.2,28.0,601
8.8,6.6,370.4,27.2,701
6.3,7.5,369.5,29.7,801
7.9,6.9,370.1,28.1,901
9.3,7.2,369.8,26.7,1001
8.2,6.4,370.6,27.8,1101
5.9,5.6,371.4,30.1,1201
6.6,5.5,371.5,29.4,1301
7.1,5.6,371.4,28.9,1401
7.1,4.9,372.1,28.9,1501
6.5,4.6,372.4,29.5,1601
6.4,6.4,370.6,29.6,1701
7.1,5.0,372.0,28.9,1801
7.5,4.2,372.8,28.5,1901
6.9,5.3,371.7,29.1,2001
5.4,5.2,371.8,30.6,2101
5.1,4.1,372.9,30.9,2201
5.7,6.1,370.9,30.3,2301
6.0,4.2,372.8,30.0,2401
7.0,4.5,372.5,29.0,2501
5.9,4.3,372.7,30.1,2601
6.0,4.8,372.2,30.0,2701
6.5,3.3,373.7,29.5,2801
5.6,5.1,371.9,30.4,2901
5.7,4.2,372.8,30.3,3001
4.9,5.0,372.0,31.1,3101
3.8,3.8,373.2,32.2,3201
5.3,4.2,373.4,30.1,3301
5.3,4.8,372.2,30.7,3401
5.9,3.8,373.2,30.1,3501
3.9,3.6,374.4,31.1,3601
4.2,3.0,374.0,31.8,3701
