FN,FP,TN,TP,sr
31.5,11.5,365.5,4.5,101
15.3,8.7,368.3,20.7,201
10.7,5.6,371.4,25.3,301
11.0,8.0,369.0,25.0,401
8.1,7.5,369.5,27.9,501
9.4,7.6,369.4,26.6,601
9.5,5.6,371.4,26.5,701
7.5,8.3,368.7,28.5,801
8.6,4.0,373.0,27.4,901
8.0,6.5,370.5,28.0,1001
7.3,6.3,370.7,28.7,1101
5.4,5.9,371.1,30.6,1201
7.8,4.7,372.3,28.2,1301
6.9,6.4,370.6,29.1,1401
6.1,4.2,372.8,29.9,1501
6.7,3.5,373.5,29.3,1601
5.1,6.5,370.5,30.9,1701
7.6,4.6,372.4,28.4,1801
6.5,6.4,370.6,29.5,1901
7.5,5.1,371.9,28.5,2001
5.9,5.5,371.5,30.1,2101
6.7,5.1,371.9,29.3,2201
5.1,6.1,370.9,30.9,2301
6.8,4.3,372.7,29.2,2401
5.1,4.0,373.0,30.9,2501
5.9,4.0,373.0,30.1,2601
7.4,4.2,372.8,28.6,2701
4.7,5.0,372.0,31.3,2801
6.0,4.8,372.2,30.0,2901
6.1,2.3,374.7,29.9,3001
5.5,4.0,373.0,30.5,3101
6.0,4.9,372.1,30.0,3201
4.4,3.3,374.3,31.0,3301
5.0,4.4,372.6,31.0,3401
4.3,3.4,373.6,31.7,3501
4.5,3.4,374.6,30.5,3601
4.9,5.2,371.8,31.1,3701
