FN,FP,TN,TP,sr
32.0,12.9,364.1,4.0,101
17.9,9.2,367.8,18.1,201
10.6,6.3,370.7,25.4,301
7.9,7.9,369.1,28.1,401
8.6,6.4,370.6,27.4,501
8.0,7.5,369.5,28.0,601
8.9,7.8,369.2,27.1,701
7.5,6.1,370.9,28.5,801
7.3,6.9,370.1,28.7,901
7.6,6.7,370.3,28.4,1001
6.1,8.2,368.8,29.9,1101
6.6,6.4,370.6,29.4,1201
6.8,6.4,370.6,29.2,1301
5.2,6.7,370.3,30.8,1401
7.0,4.6,372.4,29.0,1501
7.0,5.7,371.3,29.0,1601
7.4,5.2,371.8,28.6,1701
7.0,3.2,373.8,29.0,1801
7.0,5.6,371.4,29.0,1901
6.2,5.2,371.8,29.8,2001
5.7,3.6,373.4,30.3,2101
6.4,4.0,373.0,29.6,2201
6.5,4.7,372.3,29.5,2301
6.1,3.8,373.2,29.9,2401
7.0,4.0,373.0,29.0,2501
5.8,4.5,372.5,30.2,2601
5.5,4.3,372.7,30.5,2701
4.9,4.6,372.4,31.1,2801
5.0,4.0,373.0,31.0,2901
5.3,4.1,372.9,30.7,3001
5.6,3.2,373.8,30.4,3101
4.4,4.0,373.0,31.6,3201
4.9,3.4,374.3,30.4,3301
4.2,4.0,373.0,31.8,3401
5.8,4.6,372.4,30.2,3501
4.0,4.3,373.7,31.0,3601
5.5,3.9,373.1,30.5,3701
