FN,FP,MSE,TN,TP,sr
34.5,6.2,0.007806373083131557,370.8,1.5,101
17.5,6.2,0.003277852935507506,370.8,18.5,201
8.9,7.4,0.002031526755942131,369.6,27.1,301
9.5,8.4,0.0017466218798091373,368.6,26.5,401
8.0,6.8,0.0019077721381996298,370.2,28.0,501
5.8,10.5,0.0018306736535148138,366.5,30.2,601
7.4,5.7,0.002165278608490941,371.3,28.6,701
9.0,7.1,0.002855378658834185,369.9,27.0,801
9.0,5.6,0.0018974423598099167,371.4,27.0,901
8.0,6.1,0.0019600732852427184,370.9,28.0,1001
7.4,5.2,0.0019776291928353612,371.8,28.6,1101
7.0,5.0,0.0013000328314871148,372.0,29.0,1201
7.8,5.0,0.0014259822215251486,372.0,28.2,1301
7.1,6.0,0.0010679012499789785,371.0,28.9,1401
7.6,5.9,0.0013092576558673193,371.1,28.4,1501
9.0,4.7,0.0016786340339036345,372.3,27.0,1601
6.7,5.0,0.0011618637316603297,372.0,29.3,1701
6.8,4.9,0.0022778114305877168,372.1,29.2,1801
7.1,5.5,0.0019251157476087941,371.5,28.9,1901
6.9,5.4,0.0011276451807969413,371.6,29.1,2001
7.1,5.5,0.0018079474975170953,371.5,28.9,2101
5.8,6.4,0.001278592923708705,370.6,30.2,2201
7.5,5.8,0.0017132283138772465,371.2,28.5,2301
6.6,5.5,0.001046570330103808,371.5,29.4,2401
6.5,4.4,0.0017191645585392236,372.6,29.5,2501
6.3,4.4,0.0017031865437789767,372.6,29.7,2601
6.4,5.1,0.0011695046437386549,371.9,29.6,2701
5.7,3.7,0.0012200561544663904,373.3,30.3,2801
5.6,4.7,0.001338609780557199,372.3,30.4,2901
4.8,4.2,0.0013719602825166496,372.8,31.2,3001
4.3,4.1,0.0011452286407457727,372.9,31.7,3101
6.2,5.5,0.0017260867449462422,371.5,29.8,3201
5.0,4.4,0.0014183946420656104,372.9,30.7,3301
3.9,6.2,0.0015439902401373274,370.8,32.1,3401
4.8,5.7,0.0010065927647369428,371.3,31.2,3501
4.9,4.5,0.0007802236415647669,373.5,30.1,3601
5.4,4.7,0.0011779940843175917,372.3,30.6,3701
