FN,FP,TN,TP,sr
12.1,7.8,369.2,23.9,101
8.1,13.3,363.7,27.9,201
11.2,6.1,370.9,24.8,301
10.1,8.6,368.4,25.9,401
9.2,7.7,369.3,26.8,501
8.9,8.4,368.6,27.1,601
8.8,6.3,370.7,27.2,701
9.0,6.9,370.1,27.0,801
8.0,6.8,370.2,28.0,901
9.0,7.3,369.7,27.0,1001
7.7,6.6,370.4,28.3,1101
8.3,8.6,368.4,27.7,1201
6.4,5.3,371.7,29.6,1301
7.2,6.2,370.8,28.8,1401
8.2,6.1,370.9,27.8,1501
6.1,6.0,371.0,29.9,1601
7.4,6.7,370.3,28.6,1701
6.7,5.4,371.6,29.3,1801
6.3,7.5,369.5,29.7,1901
4.5,7.9,369.1,31.5,2001
4.7,6.8,370.2,31.3,2101
5.8,5.4,371.6,30.2,2201
5.7,5.6,371.4,30.3,2301
5.7,4.6,372.4,30.3,2401
4.7,4.7,372.3,31.3,2501
5.7,7.2,369.8,30.3,2601
5.0,6.3,370.7,31.0,2701
5.5,4.9,372.1,30.5,2801
5.4,5.6,371.4,30.6,2901
5.2,5.0,372.0,30.8,3001
5.3,4.5,372.5,30.7,3101
4.7,5.5,371.5,31.3,3201
4.9,4.5,372.8,30.8,3301
5.0,4.1,372.9,31.0,3401
5.8,6.4,370.6,30.2,3501
5.3,4.1,373.9,29.7,3601
5.0,4.6,372.4,31.0,3701
