FN,FP,TN,TP,sr
17.4,12.0,365.0,18.6,101
10.4,7.8,369.2,25.6,201
9.4,9.7,367.3,26.6,301
8.5,7.0,370.0,27.5,401
8.7,5.6,371.4,27.3,501
9.1,6.8,370.2,26.9,601
8.4,6.0,371.0,27.6,701
9.0,5.4,371.6,27.0,801
7.7,6.2,370.8,28.3,901
9.1,6.0,371.0,26.9,1001
6.6,6.5,370.5,29.4,1101
8.4,5.5,371.5,27.6,1201
7.8,5.8,371.2,28.2,1301
7.7,5.0,372.0,28.3,1401
7.2,5.7,371.3,28.8,1501
6.2,5.6,371.4,29.8,1601
6.6,5.7,371.3,29.4,1701
7.7,4.9,372.1,28.3,1801
6.1,5.0,372.0,29.9,1901
6.8,5.6,371.4,29.2,2001
7.9,5.6,371.4,28.1,2101
7.7,4.4,372.6,28.3,2201
6.3,5.0,372.0,29.7,2301
7.1,3.7,373.3,28.9,2401
6.3,4.9,372.1,29.7,2501
7.0,4.7,372.3,29.0,2601
5.5,5.9,371.1,30.5,2701
6.2,4.1,372.9,29.8,2801
6.8,5.2,371.8,29.2,2901
6.5,4.9,372.1,29.5,3001
4.8,4.8,372.2,31.2,3101
7.5,5.0,372.0,28.5,3201
6.3,3.9,373.6,29.2,3301
6.3,5.1,371.9,29.7,3401
6.4,5.2,371.8,29.6,3501
6.4,6.0,372.0,28.6,3601
5.9,5.4,371.6,30.1,3701
