FN,FP,TN,TP,sr
26.3,17.7,359.3,9.7,101
12.6,7.5,369.5,23.4,201
9.6,4.4,372.6,26.4,301
10.2,6.9,370.1,25.8,401
7.6,7.2,369.8,28.4,501
8.0,7.1,369.9,28.0,601
7.6,6.9,370.1,28.4,701
8.3,6.9,370.1,27.7,801
7.2,6.4,370.6,28.8,901
7.8,6.6,370.4,28.2,1001
8.3,6.0,371.0,27.7,1101
7.7,6.3,370.7,28.3,1201
7.4,4.5,372.5,28.6,1301
6.1,6.9,370.1,29.9,1401
5.5,5.6,371.4,30.5,1501
7.2,4.6,372.4,28.8,1601
8.1,3.5,373.5,27.9,1701
5.2,5.3,371.7,30.8,1801
5.5,4.2,372.8,30.5,1901
8.6,5.2,371.8,27.4,2001
6.4,4.7,372.3,29.6,2101
7.5,4.4,372.6,28.5,2201
5.8,5.4,371.6,30.2,2301
4.7,4.9,372.1,31.3,2401
5.4,3.9,373.1,30.6,2501
5.5,5.3,371.7,30.5,2601
5.5,4.8,372.2,30.5,2701
4.8,4.1,372.9,31.2,2801
4.9,4.6,372.4,31.1,2901
6.9,4.2,372.8,29.1,3001
6.6,4.4,372.6,29.4,3101
5.6,3.8,373.2,30.4,3201
4.6,4.1,373.5,30.8,3301
6.1,3.2,373.8,29.9,3401
6.1,3.8,373.2,29.9,3501
5.9,4.8,373.2,29.1,3601
6.3,3.1,373.9,29.7,3701
