FN,FP,TN,TP,sr
16.0,6.1,370.9,20.0,101
11.9,9.2,367.8,24.1,201
10.4,10.0,367.0,25.6,301
10.9,7.1,369.9,25.1,401
10.3,7.4,369.6,25.7,501
9.9,4.8,372.2,26.1,601
8.3,7.0,370.0,27.7,701
8.4,6.4,370.6,27.6,801
9.4,5.9,371.1,26.6,901
9.0,5.1,371.9,27.0,1001
7.5,7.1,369.9,28.5,1101
7.9,5.6,371.4,28.1,1201
8.2,5.5,371.5,27.8,1301
7.7,6.2,370.8,28.3,1401
8.0,4.8,372.2,28.0,1501
6.7,6.5,370.5,29.3,1601
7.4,6.8,370.2,28.6,1701
6.4,4.9,372.1,29.6,1801
7.0,5.8,371.2,29.0,1901
6.2,5.1,371.9,29.8,2001
5.8,4.7,372.3,30.2,2101
6.7,4.8,372.2,29.3,2201
6.8,6.1,370.9,29.2,2301
5.6,5.9,371.1,30.4,2401
6.3,4.1,372.9,29.7,2501
5.6,4.0,373.0,30.4,2601
7.5,5.7,371.3,28.5,2701
6.3,3.7,373.3,29.7,2801
5.4,4.9,372.1,30.6,2901
5.1,5.0,372.0,30.9,3001
7.2,3.9,373.1,28.8,3101
5.5,3.8,373.2,30.5,3201
5.2,2.8,374.5,30.5,3301
5.6,4.5,372.5,30.4,3401
5.0,3.4,373.6,31.0,3501
4.8,4.6,373.4,30.2,3601
6.7,4.0,373.0,29.3,3701
