FN,FP,MSE,TN,TP,sr
16.4,11.5,0.005873395883777241,365.5,19.6,101
8.1,11.1,0.002100618126305332,365.9,27.9,201
6.1,9.6,0.0022623510729813563,367.4,29.9,301
7.1,11.1,0.0039183682718435375,365.9,28.9,401
8.0,6.1,0.0029823657857513466,370.9,28.0,501
8.8,6.3,0.0018465345828552117,370.7,27.2,601
9.4,6.2,0.0018817954836003923,370.8,26.6,701
8.9,4.6,0.002213130553160356,372.4,27.1,801
6.3,8.2,0.002378321893639467,368.8,29.7,901
7.5,6.8,0.0020920446561254755,370.2,28.5,1001
9.0,4.9,0.001646156700270033,372.1,27.0,1101
5.9,6.1,0.002867682029349175,370.9,30.1,1201
5.7,5.7,0.000948568933106024,371.3,30.3,1301
6.7,6.6,0.0015685964222231289,370.4,29.3,1401
5.9,5.9,0.0017444476437993377,371.1,30.1,1501
7.0,7.4,0.0021122853783981867,369.6,29.0,1601
5.2,5.8,0.001556467390340289,371.2,30.8,1701
7.3,6.3,0.0011373231573772028,370.7,28.7,1801
6.4,7.3,0.0024741152384704845,369.7,29.6,1901
4.6,5.5,0.002373015735014093,371.5,31.4,2001
7.5,4.8,0.002304483725880732,372.2,28.5,2101
5.4,4.3,0.0013864689343669118,372.7,30.6,2201
5.1,5.8,0.0013507517397111535,371.2,30.9,2301
5.4,6.2,0.0015933037637361892,370.8,30.6,2401
6.3,5.5,0.002545841465232212,371.5,29.7,2501
5.1,5.3,0.0016171218903049036,371.7,30.9,2601
4.1,4.6,0.0013599822324416636,372.4,31.9,2701
5.4,3.6,0.0009745937706312699,373.4,30.6,2801
6.9,3.0,0.0011327895613373168,374.0,29.1,2901
5.8,5.1,0.0006428295140363988,371.9,30.2,3001
5.6,4.7,0.001025794875934102,372.3,30.4,3101
5.3,5.7,0.0010611583077217873,371.3,30.7,3201
4.5,4.7,0.0009247571517983277,372.9,30.9,3301
4.4,4.3,0.0007601525621778739,372.7,31.6,3401
4.8,5.2,0.0010588626467142028,371.8,31.2,3501
5.3,4.0,0.001438217284398029,374.0,29.7,3601
4.7,5.6,0.0012490342464896963,371.4,31.3,3701
