FN,FP,MSE,TN,TP,sr
8.4,18.1,0.004501210653753028,358.9,27.6,101
9.5,12.4,0.0032077040058394674,364.6,26.5,201
10.0,9.8,0.0035808206088104116,367.2,26.0,301
8.9,7.2,0.0023089689937329295,369.8,27.1,401
9.2,10.3,0.0029773450789167067,366.7,26.8,501
8.1,7.4,0.0037916180671389832,369.6,27.9,601
7.1,6.5,0.002703262665427119,370.5,28.9,701
7.4,6.8,0.0035634173628673127,370.2,28.6,801
9.1,7.5,0.002163811921202906,369.5,26.9,901
7.2,7.0,0.0026617328123371,370.0,28.8,1001
8.8,6.8,0.0025078416959895466,370.2,27.2,1101
8.1,6.0,0.0022023454410665865,371.0,27.9,1201
7.3,5.8,0.002577484497503868,371.2,28.7,1301
6.9,6.3,0.002085900125366344,370.7,29.1,1401
6.1,6.9,0.0028364570806803874,370.1,29.9,1501
7.0,6.9,0.0029699319322035404,370.1,29.0,1601
6.3,5.5,0.001670857658843211,371.5,29.7,1701
6.8,5.6,0.0013258123870556662,371.4,29.2,1801
7.1,5.8,0.0019845382092216596,371.2,28.9,1901
6.5,6.2,0.002175025255748268,370.8,29.5,2001
7.0,7.1,0.0010517186468523287,369.9,29.0,2101
5.9,6.6,0.0015409155970056742,370.4,30.1,2201
6.6,5.2,0.0016594587078331193,371.8,29.4,2301
4.7,5.9,0.0018428023508768067,371.1,31.3,2401
6.0,4.5,0.0010214021495859777,372.5,30.0,2501
4.7,5.9,0.0017370888603701847,371.1,31.3,2601
4.7,5.1,0.001576905242366633,371.9,31.3,2701
5.3,4.3,0.0013927850831967688,372.7,30.7,2801
4.8,5.0,0.0013071425293668388,372.0,31.2,2901
5.9,4.7,0.001369135313401103,372.3,30.1,3001
5.1,4.9,0.0009894927045785895,372.1,30.9,3101
3.9,5.8,0.0014552741181011633,371.2,32.1,3201
6.5,4.7,0.0008291029178262426,372.8,29.0,3301
4.3,4.8,0.0014398632840122185,372.2,31.7,3401
4.5,4.6,0.0009203361184288676,372.4,31.5,3501
5.5,3.8,0.0009214820649652502,374.2,29.5,3601
5.2,4.4,0.001264511988171758,372.6,30.8,3701
