FN,FP,MSE,TN,TP,sr
10.5,13.0,0.005654799330403875,364.0,25.5,101
8.4,9.4,0.003806145912175303,367.6,27.6,201
8.1,10.2,0.0035249155579469733,366.8,27.9,301
10.3,7.9,0.003429442047051089,369.1,25.7,401
8.8,9.1,0.0025914567650138017,367.9,27.2,501
8.4,9.1,0.0031505098508355935,367.9,27.6,601
9.0,8.8,0.0033045389212827667,368.2,27.0,701
9.6,8.2,0.002375971983958981,368.8,26.4,801
9.8,6.9,0.0027789757113834803,370.1,26.2,901
9.2,8.1,0.001992373617960736,368.9,26.8,1001
7.5,7.1,0.002397183650624713,369.9,28.5,1101
6.9,7.1,0.0032620587858066498,369.9,29.1,1201
7.1,7.7,0.0017774287638347938,369.3,28.9,1301
5.9,5.6,0.0015344034584898311,371.4,30.1,1401
7.0,6.6,0.0009562052870379599,370.4,29.0,1501
6.2,6.9,0.0020486479986229033,370.1,29.8,1601
7.7,5.7,0.0014823965193312845,371.3,28.3,1701
7.6,5.0,0.0010137919169908522,372.0,28.4,1801
7.5,5.5,0.0020100128973051536,371.5,28.5,1901
7.7,4.7,0.0021516944006253523,372.3,28.3,2001
6.3,4.2,0.0013863325363815259,372.8,29.7,2101
6.4,4.8,0.0016330162520258134,372.2,29.6,2201
6.2,6.1,0.0023435170382925556,370.9,29.8,2301
6.6,5.8,0.002535408844126885,371.2,29.4,2401
6.8,6.4,0.002034660147029948,370.6,29.2,2501
4.6,6.0,0.0011834360025541764,371.0,31.4,2601
4.8,5.0,0.0018403880178584834,372.0,31.2,2701
5.9,4.2,0.0011150862172650232,372.8,30.1,2801
5.8,5.2,0.0009033351755677026,371.8,30.2,2901
5.4,4.6,0.0011691797296753442,372.4,30.6,3001
5.3,4.0,0.0013496770105181509,373.0,30.7,3101
5.0,5.3,0.0013622445972014119,371.7,31.0,3201
5.7,3.7,0.0018559600737707283,373.8,29.8,3301
5.5,3.9,0.0012556102293469575,373.1,30.5,3401
5.3,4.0,0.0008895761792229123,373.0,30.7,3501
6.5,4.2,0.0025764851224738933,373.8,28.5,3601
4.7,4.5,0.0012021395548816758,372.5,31.3,3701
