FN,FP,TN,TP,sr
32.4,23.0,354.0,3.6,101
14.7,9.4,367.6,21.3,201
10.3,6.5,370.5,25.7,301
8.8,8.1,368.9,27.2,401
7.3,6.5,370.5,28.7,501
6.2,7.8,369.2,29.8,601
7.3,7.5,369.5,28.7,701
7.7,8.1,368.9,28.3,801
7.9,7.5,369.5,28.1,901
6.7,7.2,369.8,29.3,1001
7.2,4.6,372.4,28.8,1101
6.0,5.3,371.7,30.0,1201
7.0,4.8,372.2,29.0,1301
7.4,3.9,373.1,28.6,1401
8.7,3.6,373.4,27.3,1501
8.4,4.6,372.4,27.6,1601
5.7,5.4,371.6,30.3,1701
6.3,4.3,372.7,29.7,1801
5.6,6.3,370.7,30.4,1901
7.3,5.1,371.9,28.7,2001
8.5,4.9,372.1,27.5,2101
6.8,5.1,371.9,29.2,2201
6.0,3.9,373.1,30.0,2301
6.9,5.5,371.5,29.1,2401
4.5,5.1,371.9,31.5,2501
6.0,4.2,372.8,30.0,2601
6.7,3.6,373.4,29.3,2701
5.1,3.4,373.6,30.9,2801
5.2,3.7,373.3,30.8,2901
6.0,4.2,372.8,30.0,3001
5.0,4.0,373.0,31.0,3101
6.4,3.7,373.3,29.6,3201
5.3,2.8,375.0,29.9,3301
5.3,3.7,373.3,30.7,3401
4.1,3.8,373.2,31.9,3501
3.9,4.5,373.5,31.1,3601
4.6,4.4,372.6,31.4,3701
