FN,FP,MSE,TN,TP,sr
10.9,11.7,0.004137028051295883,365.3,25.1,101
9.2,7.9,0.0030584187973380144,369.1,26.8,201
9.3,10.2,0.004726020453173123,366.8,26.7,301
10.2,8.5,0.003660897353899516,368.5,25.8,401
8.4,8.0,0.0017870071648740924,369.0,27.6,501
9.9,6.7,0.0032374077469883773,370.3,26.1,601
8.4,10.0,0.003240189558942628,367.0,27.6,701
8.0,7.1,0.0026111558200939905,369.9,28.0,801
9.5,8.5,0.0019274335358605156,368.5,26.5,901
8.6,4.6,0.002393912183339286,372.4,27.4,1001
7.4,7.6,0.0025212371079896276,369.4,28.6,1101
8.9,8.0,0.0033205626636630126,369.0,27.1,1201
9.0,5.7,0.0015974045339737341,371.3,27.0,1301
7.0,4.4,0.0015548478778655496,372.6,29.0,1401
7.2,7.2,0.0020221655092076463,369.8,28.8,1501
7.5,6.5,0.002355028847853676,370.5,28.5,1601
8.2,6.4,0.0020022026162499033,370.6,27.8,1701
6.4,5.3,0.003359465281371124,371.7,29.6,1801
5.8,5.2,0.0011551381561380515,371.8,30.2,1901
6.4,5.5,0.0017092936493960837,371.5,29.6,2001
6.8,5.3,0.0025837740532706536,371.7,29.2,2101
4.5,5.2,0.0011859549924714045,371.8,31.5,2201
6.4,5.9,0.002223867668437687,371.1,29.6,2301
5.7,5.3,0.001840345149581052,371.7,30.3,2401
4.8,5.2,0.0014008489120389928,371.8,31.2,2501
5.7,5.3,0.0021624512137056627,371.7,30.3,2601
5.0,5.2,0.0010621827237780853,371.8,31.0,2701
5.0,4.2,0.0013442829580938124,372.8,31.0,2801
6.4,4.9,0.0017479555082140265,372.1,29.6,2901
6.2,5.1,0.001329278471573497,371.9,29.8,3001
5.0,3.9,0.001426264210796772,373.1,31.0,3101
4.6,3.4,0.0007120372839374185,373.6,31.4,3201
4.9,3.4,0.0009921590939759248,374.0,30.7,3301
5.2,4.4,0.00134905044784786,372.6,30.8,3401
5.4,3.7,0.000592756574541758,373.3,30.6,3501
5.4,3.3,0.0018897608496068637,374.7,29.6,3601
4.9,4.5,0.0007794207399450641,372.5,31.1,3701
