FN,FP,TN,TP,sr
28.9,11.3,365.7,7.1,101
19.5,12.7,364.3,16.5,201
10.9,4.6,372.4,25.1,301
10.1,7.9,369.1,25.9,401
7.3,8.5,368.5,28.7,501
8.3,7.1,369.9,27.7,601
8.4,6.9,370.1,27.6,701
5.2,8.5,368.5,30.8,801
8.4,5.8,371.2,27.6,901
6.9,8.2,368.8,29.1,1001
7.3,6.8,370.2,28.7,1101
6.1,6.4,370.6,29.9,1201
6.8,5.7,371.3,29.2,1301
6.4,5.1,371.9,29.6,1401
5.1,5.7,371.3,30.9,1501
5.8,5.7,371.3,30.2,1601
6.9,5.9,371.1,29.1,1701
4.6,3.8,373.2,31.4,1801
8.2,4.9,372.1,27.8,1901
5.5,5.1,371.9,30.5,2001
5.6,4.6,372.4,30.4,2101
4.8,4.1,372.9,31.2,2201
4.9,4.8,372.2,31.1,2301
5.1,4.5,372.5,30.9,2401
6.3,4.0,373.0,29.7,2501
7.2,5.4,371.6,28.8,2601
5.6,3.9,373.1,30.4,2701
5.8,4.0,373.0,30.2,2801
4.5,4.6,372.4,31.5,2901
5.2,3.1,373.9,30.8,3001
5.8,4.0,373.0,30.2,3101
6.0,4.3,372.7,30.0,3201
4.9,4.6,372.8,30.7,3301
6.1,3.4,373.6,29.9,3401
5.3,2.8,374.2,30.7,3501
4.9,2.9,375.1,30.1,3601
4.2,3.9,373.1,31.8,3701
