FN,FP,TN,TP,sr
19.7,17.7,359.3,16.3,101
12.7,10.6,366.4,23.3,201
8.0,7.6,369.4,28.0,301
10.8,7.2,369.8,25.2,401
9.3,5.1,371.9,26.7,501
8.4,6.4,370.6,27.6,601
9.6,7.3,369.7,26.4,701
8.7,7.3,369.7,27.3,801
8.1,6.8,370.2,27.9,901
8.2,6.3,370.7,27.8,1001
8.5,5.8,371.2,27.5,1101
6.6,5.3,371.7,29.4,1201
7.2,4.4,372.6,28.8,1301
6.6,6.4,370.6,29.4,1401
7.4,6.1,370.9,28.6,1501
7.6,5.7,371.3,28.4,1601
7.6,5.2,371.8,28.4,1701
7.0,4.6,372.4,29.0,1801
6.3,6.0,371.0,29.7,1901
8.0,5.3,371.7,28.0,2001
5.8,3.9,373.1,30.2,2101
5.2,5.3,371.7,30.8,2201
6.5,5.4,371.6,29.5,2301
7.7,5.5,371.5,28.3,2401
5.7,5.6,371.4,30.3,2501
5.2,3.6,373.4,30.8,2601
6.8,3.9,373.1,29.2,2701
7.9,4.9,372.1,28.1,2801
6.2,5.0,372.0,29.8,2901
5.3,5.1,371.9,30.7,3001
5.7,3.3,373.7,30.3,3101
6.9,4.9,372.1,29.1,3201
7.3,5.1,372.2,28.4,3301
5.8,4.5,372.5,30.2,3401
5.9,4.4,372.6,30.1,3501
6.0,4.9,373.1,29.0,3601
6.3,5.3,371.7,29.7,3701
