FN,FP,TN,TP,sr
14.9,7.3,369.7,21.1,101
14.7,9.3,367.7,21.3,201
11.7,8.4,368.6,24.3,301
9.0,8.0,369.0,27.0,401
10.8,7.1,369.9,25.2,501
9.7,6.4,370.6,26.3,601
7.8,5.9,371.1,28.2,701
9.1,6.5,370.5,26.9,801
8.4,5.2,371.8,27.6,901
7.7,4.4,372.6,28.3,1001
9.5,7.3,369.7,26.5,1101
9.3,5.7,371.3,26.7,1201
7.2,6.6,370.4,28.8,1301
7.6,6.5,370.5,28.4,1401
7.1,6.0,371.0,28.9,1501
6.2,5.9,371.1,29.8,1601
7.0,4.1,372.9,29.0,1701
8.0,6.2,370.8,28.0,1801
6.8,3.4,373.6,29.2,1901
5.6,6.1,370.9,30.4,2001
6.5,6.0,371.0,29.5,2101
6.8,4.2,372.8,29.2,2201
5.9,4.9,372.1,30.1,2301
6.1,5.0,372.0,29.9,2401
7.5,4.7,372.3,28.5,2501
6.5,7.0,370.0,29.5,2601
7.2,3.5,373.5,28.8,2701
6.7,3.9,373.1,29.3,2801
5.6,4.1,372.9,30.4,2901
5.6,4.9,372.1,30.4,3001
5.8,3.3,373.7,30.2,3101
5.4,3.7,373.3,30.6,3201
5.6,4.4,373.3,29.7,3301
5.0,3.9,373.1,31.0,3401
5.1,3.9,373.1,30.9,3501
4.7,4.2,373.8,30.3,3601
5.3,4.1,372.9,30.7,3701
