FN,FP,TN,TP,sr
34.1,21.7,355.3,1.9,101
19.0,13.2,363.8,17.0,201
12.1,7.4,369.6,23.9,301
9.4,6.2,370.8,26.6,401
9.5,6.9,370.1,26.5,501
7.3,8.5,368.5,28.7,601
6.8,9.9,367.1,29.2,701
7.0,8.6,368.4,29.0,801
6.7,6.9,370.1,29.3,901
6.5,6.1,370.9,29.5,1001
7.4,7.5,369.5,28.6,1101
8.7,6.0,371.0,27.3,1201
7.2,6.1,370.9,28.8,1301
5.7,7.5,369.5,30.3,1401
5.8,7.7,369.3,30.2,1501
6.6,4.7,372.3,29.4,1601
7.3,4.9,372.1,28.7,1701
7.3,5.1,371.9,28.7,1801
6.5,5.6,371.4,29.5,1901
6.5,5.6,371.4,29.5,2001
7.1,4.3,372.7,28.9,2101
6.1,5.3,371.7,29.9,2201
6.2,5.1,371.9,29.8,2301
4.6,5.8,371.2,31.4,2401
6.2,4.5,372.5,29.8,2501
6.0,4.3,372.7,30.0,2601
7.4,3.7,373.3,28.6,2701
6.5,4.1,372.9,29.5,2801
6.0,3.9,373.1,30.0,2901
5.8,3.8,373.2,30.2,3001
6.1,4.7,372.3,29.9,3101
4.9,4.0,373.0,31.1,3201
5.8,4.5,373.2,29.5,3301
4.1,3.7,373.3,31.9,3401
4.0,4.2,372.8,32.0,3501
4.9,3.6,374.4,30.1,3601
5.5,2.8,374.2,30.5,3701
