FN,FP,TN,TP,sr
34.3,18.7,358.3,1.7,101
23.8,10.2,366.8,12.2,201
11.9,8.6,368.4,24.1,301
7.2,8.1,368.9,28.8,401
7.7,8.2,368.8,28.3,501
7.5,7.4,369.6,28.5,601
7.3,6.2,370.8,28.7,701
8.3,7.8,369.2,27.7,801
8.5,5.3,371.7,27.5,901
8.7,7.1,369.9,27.3,1001
5.5,7.4,369.6,30.5,1101
6.9,7.0,370.0,29.1,1201
6.3,5.3,371.7,29.7,1301
8.6,5.0,372.0,27.4,1401
7.4,5.8,371.2,28.6,1501
6.8,5.0,372.0,29.2,1601
6.0,7.2,369.8,30.0,1701
7.2,3.9,373.1,28.8,1801
7.0,5.1,371.9,29.0,1901
7.2,5.2,371.8,28.8,2001
5.1,6.5,370.5,30.9,2101
5.7,4.0,373.0,30.3,2201
6.0,4.5,372.5,30.0,2301
6.7,4.6,372.4,29.3,2401
7.0,5.0,372.0,29.0,2501
7.4,3.1,373.9,28.6,2601
6.4,3.9,373.1,29.6,2701
4.8,4.2,372.8,31.2,2801
5.6,4.3,372.7,30.4,2901
6.1,3.3,373.7,29.9,3001
6.0,4.7,372.3,30.0,3101
5.3,4.5,372.5,30.7,3201
5.2,4.8,372.6,30.4,3301
6.1,4.4,372.6,29.9,3401
3.5,3.9,373.1,32.5,3501
5.3,3.6,374.4,29.7,3601
4.4,3.8,373.2,31.6,3701
