FN,FP,TN,TP,sr
34.0,17.8,359.2,2.0,101
20.1,7.8,369.2,15.9,201
11.2,9.5,367.5,24.8,301
9.6,7.0,370.0,26.4,401
6.8,7.3,369.7,29.2,501
9.3,7.0,370.0,26.7,601
7.1,6.7,370.3,28.9,701
6.1,8.1,368.9,29.9,801
7.9,8.1,368.9,28.1,901
6.3,8.8,368.2,29.7,1001
7.5,5.6,371.4,28.5,1101
7.6,7.1,369.9,28.4,1201
6.2,8.0,369.0,29.8,1301
7.0,5.3,371.7,29.0,1401
7.1,7.0,370.0,28.9,1501
7.2,5.4,371.6,28.8,1601
6.8,6.3,370.7,29.2,1701
6.7,5.9,371.1,29.3,1801
6.7,5.7,371.3,29.3,1901
7.0,6.3,370.7,29.0,2001
7.4,4.3,372.7,28.6,2101
5.2,4.3,372.7,30.8,2201
7.6,4.0,373.0,28.4,2301
8.1,4.7,372.3,27.9,2401
6.3,4.7,372.3,29.7,2501
6.5,4.5,372.5,29.5,2601
6.8,4.5,372.5,29.2,2701
5.3,4.7,372.3,30.7,2801
4.9,5.4,371.6,31.1,2901
5.1,4.1,372.9,30.9,3001
5.9,5.2,371.8,30.1,3101
5.6,5.1,371.9,30.4,3201
5.1,4.4,373.2,30.3,3301
5.8,4.4,372.6,30.2,3401
5.7,4.6,372.4,30.3,3501
4.4,5.2,372.8,30.6,3601
3.5,3.2,373.8,32.5,3701
