FN,FP,TN,TP,sr
35.3,4.7,372.3,0.7,101
23.9,11.3,365.7,12.1,201
12.3,5.0,372.0,23.7,301
9.8,7.9,369.1,26.2,401
8.2,5.2,371.8,27.8,501
5.8,7.8,369.2,30.2,601
8.9,7.6,369.4,27.1,701
7.3,6.8,370.2,28.7,801
6.8,8.9,368.1,29.2,901
5.6,7.6,369.4,30.4,1001
6.2,6.7,370.3,29.8,1101
8.0,6.8,370.2,28.0,1201
6.1,6.9,370.1,29.9,1301
6.7,6.6,370.4,29.3,1401
6.3,6.5,370.5,29.7,1501
6.1,7.4,369.6,29.9,1601
6.7,7.3,369.7,29.3,1701
7.3,4.7,372.3,28.7,1801
6.1,6.8,370.2,29.9,1901
7.9,6.0,371.0,28.1,2001
6.4,7.4,369.6,29.6,2101
6.7,7.4,369.6,29.3,2201
7.8,5.9,371.1,28.2,2301
6.0,6.2,370.8,30.0,2401
6.6,7.7,369.3,29.4,2501
8.5,5.1,371.9,27.5,2601
7.5,6.7,370.3,28.5,2701
7.2,6.7,370.3,28.8,2801
6.4,6.4,370.6,29.6,2901
7.2,8.3,368.7,28.8,3001
7.8,7.2,369.8,28.2,3101
7.3,5.6,371.4,28.7,3201
7.1,6.6,370.8,28.5,3301
8.3,5.5,371.5,27.7,3401
8.8,5.0,372.0,27.2,3501
8.7,7.1,370.9,26.3,3601
5.3,8.2,368.8,30.7,3701
