FN,FP,TN,TP,sr
20.5,9.2,367.8,15.5,101
12.4,5.8,371.2,23.6,201
9.4,6.6,370.4,26.6,301
8.6,7.8,369.2,27.4,401
10.0,7.6,369.4,26.0,501
8.5,8.6,368.4,27.5,601
7.2,8.0,369.0,28.8,701
9.8,7.7,369.3,26.2,801
9.0,7.4,369.6,27.0,901
8.1,5.2,371.8,27.9,1001
7.2,7.1,369.9,28.8,1101
6.4,4.9,372.1,29.6,1201
7.7,5.8,371.2,28.3,1301
7.4,6.6,370.4,28.6,1401
7.3,5.5,371.5,28.7,1501
6.6,6.4,370.6,29.4,1601
6.2,6.8,370.2,29.8,1701
8.5,4.3,372.7,27.5,1801
6.7,5.5,371.5,29.3,1901
6.0,4.9,372.1,30.0,2001
6.4,4.9,372.1,29.6,2101
5.6,5.0,372.0,30.4,2201
6.4,5.1,371.9,29.6,2301
6.0,5.5,371.5,30.0,2401
6.3,3.7,373.3,29.7,2501
5.2,5.6,371.4,30.8,2601
6.1,5.4,371.6,29.9,2701
5.4,4.2,372.8,30.6,2801
7.8,4.5,372.5,28.2,2901
6.4,4.2,372.8,29.6,3001
7.4,3.6,373.4,28.6,3101
6.8,4.6,372.4,29.2,3201
6.2,4.9,373.1,28.8,3301
5.3,4.0,373.0,30.7,3401
5.8,3.3,373.7,30.2,3501
4.2,3.5,374.5,30.8,3601
6.2,4.3,372.7,29.8,3701
