FN,FP,MSE,TN,TP,sr
33.2,5.3,0.005500775390798457,371.7,2.8,101
15.7,6.8,0.0023992130750605327,370.2,20.3,201
8.3,9.7,0.00287244216944892,367.3,27.7,301
5.4,8.6,0.0019776603145239243,368.4,30.6,401
7.4,8.4,0.0025021963259386727,368.6,28.6,501
7.6,7.9,0.0029403630448561133,369.1,28.4,601
8.7,7.5,0.0020201469759114662,369.5,27.3,701
8.4,6.5,0.0016881327175080718,370.5,27.6,801
7.0,5.9,0.0013961804000610478,371.1,29.0,901
7.6,8.4,0.0028854578504462626,368.6,28.4,1001
6.6,5.6,0.00204490104396808,371.4,29.4,1101
6.2,5.1,0.001775451234601413,371.9,29.8,1201
8.8,3.8,0.001780217928480798,373.2,27.2,1301
8.2,6.2,0.0011154973740954077,370.8,27.8,1401
7.3,3.6,0.0010689360442040423,373.4,28.7,1501
9.6,4.9,0.002190581106798292,372.1,26.4,1601
6.5,6.3,0.0014555569222681533,370.7,29.5,1701
5.3,5.9,0.0017563587853119396,371.1,30.7,1801
6.0,4.8,0.0014609321280152213,372.2,30.0,1901
6.4,3.5,0.0007745854546351714,373.5,29.6,2001
5.9,5.4,0.0016291865852234373,371.6,30.1,2101
6.3,5.3,0.0014896987041118396,371.7,29.7,2201
7.7,5.0,0.0018416947068481057,372.0,28.3,2301
6.6,4.9,0.001207141074597412,372.1,29.4,2401
8.1,5.9,0.0015344631640461885,371.1,27.9,2501
6.0,4.6,0.0013911084449628956,372.4,30.0,2601
7.2,4.7,0.0010565282717432541,372.3,28.8,2701
5.3,5.7,0.0018687639801738241,371.3,30.7,2801
6.5,4.5,0.0024479716410343902,372.5,29.5,2901
5.9,4.6,0.0016684687086852969,372.4,30.1,3001
5.8,3.3,0.0015578901446049326,373.7,30.2,3101
6.6,3.8,0.0015323810804084145,373.2,29.4,3201
6.4,3.3,0.0013600390141167195,374.1,29.2,3301
5.2,4.0,0.0014016663429211168,373.0,30.8,3401
5.1,5.4,0.002267885256083479,371.6,30.9,3501
6.8,4.3,0.0014879944698052865,373.7,28.2,3601
7.4,4.9,0.001280896411801161,372.1,28.6,3701
