FN,FP,TN,TP,sr
32.1,5.8,371.2,3.9,101
13.9,11.2,365.8,22.1,201
8.7,7.1,369.9,27.3,301
9.1,6.5,370.5,26.9,401
5.9,9.3,367.7,30.1,501
9.2,7.9,369.1,26.8,601
9.8,5.8,371.2,26.2,701
9.4,6.7,370.3,26.6,801
8.2,6.0,371.0,27.8,901
9.3,7.8,369.2,26.7,1001
6.6,7.1,369.9,29.4,1101
6.5,4.7,372.3,29.5,1201
6.8,5.1,371.9,29.2,1301
7.1,5.6,371.4,28.9,1401
5.8,6.5,370.5,30.2,1501
6.1,4.6,372.4,29.9,1601
6.2,5.4,371.6,29.8,1701
6.5,5.3,371.7,29.5,1801
5.8,6.5,370.5,30.2,1901
7.0,4.0,373.0,29.0,2001
6.0,3.2,373.8,30.0,2101
6.3,5.3,371.7,29.7,2201
6.8,6.4,370.6,29.2,2301
7.0,3.6,373.4,29.0,2401
4.7,4.2,372.8,31.3,2501
6.9,5.1,371.9,29.1,2601
5.7,4.3,372.7,30.3,2701
5.2,3.6,373.4,30.8,2801
6.3,3.5,373.5,29.7,2901
5.2,4.7,372.3,30.8,3001
5.6,3.5,373.5,30.4,3101
4.8,3.8,373.2,31.2,3201
5.2,4.3,373.4,30.1,3301
3.7,5.1,371.9,32.3,3401
4.1,3.4,373.6,31.9,3501
4.8,4.2,373.8,30.2,3601
4.9,4.1,372.9,31.1,3701
