FN,FP,TN,TP,sr
35.3,3.6,373.4,0.7,101
23.8,8.5,368.5,12.2,201
12.9,8.8,368.2,23.1,301
8.5,6.8,370.2,27.5,401
7.7,6.1,370.9,28.3,501
8.2,6.8,370.2,27.8,601
6.7,7.3,369.7,29.3,701
8.7,6.7,370.3,27.3,801
10.3,5.8,371.2,25.7,901
8.4,8.5,368.5,27.6,1001
6.1,7.4,369.6,29.9,1101
8.2,5.2,371.8,27.8,1201
7.1,6.7,370.3,28.9,1301
6.7,5.3,371.7,29.3,1401
7.4,6.1,370.9,28.6,1501
6.7,5.9,371.1,29.3,1601
7.3,5.8,371.2,28.7,1701
7.1,4.3,372.7,28.9,1801
6.7,4.7,372.3,29.3,1901
5.9,4.3,372.7,30.1,2001
5.5,6.6,370.4,30.5,2101
8.1,5.1,371.9,27.9,2201
6.3,5.7,371.3,29.7,2301
5.4,4.5,372.5,30.6,2401
5.5,5.5,371.5,30.5,2501
6.0,3.0,374.0,30.0,2601
7.1,3.9,373.1,28.9,2701
6.6,3.7,373.3,29.4,2801
5.4,3.6,373.4,30.6,2901
5.6,4.8,372.2,30.4,3001
4.4,4.3,372.7,31.6,3101
5.4,4.1,372.9,30.6,3201
4.2,5.1,372.5,31.2,3301
6.6,4.0,373.0,29.4,3401
5.1,4.1,372.9,30.9,3501
3.9,4.3,373.7,31.1,3601
4.9,4.2,372.8,31.1,3701
