FN,FP,MSE,TN,TP,sr
35.8,4.2,0.009223311903761331,372.8,0.2,101
28.0,3.1,0.005976214929607695,373.9,8.0,201
12.0,6.7,0.002308470965522166,370.3,24.0,301
8.1,6.7,0.0029184826835779703,370.3,27.9,401
5.9,9.3,0.002869645736855149,367.7,30.1,501
8.6,5.8,0.0016562675290955702,371.2,27.4,601
5.7,9.6,0.002188754497447474,367.4,30.3,701
5.3,7.4,0.0018418233959833145,369.6,30.7,801
8.2,6.6,0.002409622637159047,370.4,27.8,901
7.1,6.9,0.0012671529326048917,370.1,28.9,1001
8.2,7.0,0.002550443665481269,370.0,27.8,1101
6.9,6.0,0.002037309654102126,371.0,29.1,1201
6.1,6.3,0.00127826492162028,370.7,29.9,1301
7.5,5.8,0.0018832166212830448,371.2,28.5,1401
9.1,5.3,0.002028077540920237,371.7,26.9,1501
9.4,5.0,0.0018924592130610894,372.0,26.6,1601
8.1,4.4,0.0012432154733780223,372.6,27.9,1701
7.3,5.6,0.0019554624575770395,371.4,28.7,1801
7.0,4.6,0.0012685571589224581,372.4,29.0,1901
5.3,4.2,0.001661195071336065,372.8,30.7,2001
7.8,3.5,0.0017223708201070918,373.5,28.2,2101
6.7,3.7,0.0013644703405893887,373.3,29.3,2201
7.4,3.7,0.000852402302006326,373.3,28.6,2301
5.9,4.8,0.0008392558080523134,372.2,30.1,2401
7.0,3.6,0.001359348213938415,373.4,29.0,2501
7.2,3.0,0.0017032498195279008,374.0,28.8,2601
6.8,3.8,0.0018015322694144935,373.2,29.2,2701
6.2,4.8,0.001174571086516715,372.2,29.8,2801
6.5,4.6,0.0011750685228080625,372.4,29.5,2901
5.1,4.0,0.0014343271640443302,373.0,30.9,3001
6.6,4.3,0.00119001421048595,372.7,29.4,3101
5.3,6.0,0.0010395533697273953,371.0,30.7,3201
5.4,3.2,0.0017790800560627197,374.3,30.1,3301
4.5,5.1,0.0010594349142613439,371.9,31.5,3401
5.5,5.4,0.0012847577344273706,371.6,30.5,3501
5.7,5.0,0.001141248896447343,373.0,29.3,3601
5.5,4.2,0.0014615003237661427,372.8,30.5,3701
