FN,FP,TN,TP,sr
33.5,9.1,367.9,2.5,101
24.7,6.0,371.0,11.3,201
13.9,6.0,371.0,22.1,301
8.5,5.4,371.6,27.5,401
7.9,7.7,369.3,28.1,501
7.6,8.6,368.4,28.4,601
5.7,7.9,369.1,30.3,701
8.1,7.5,369.5,27.9,801
6.3,6.7,370.3,29.7,901
8.7,7.2,369.8,27.3,1001
8.8,6.3,370.7,27.2,1101
8.4,6.4,370.6,27.6,1201
4.6,6.3,370.7,31.4,1301
9.1,5.6,371.4,26.9,1401
5.0,5.1,371.9,31.0,1501
4.7,7.0,370.0,31.3,1601
7.5,5.1,371.9,28.5,1701
5.9,6.3,370.7,30.1,1801
4.9,4.5,372.5,31.1,1901
7.2,4.6,372.4,28.8,2001
7.3,4.0,373.0,28.7,2101
6.7,4.6,372.4,29.3,2201
6.8,4.6,372.4,29.2,2301
6.2,4.8,372.2,29.8,2401
6.1,5.5,371.5,29.9,2501
4.1,5.8,371.2,31.9,2601
6.0,3.9,373.1,30.0,2701
6.6,5.2,371.8,29.4,2801
5.4,4.0,373.0,30.6,2901
5.6,4.4,372.6,30.4,3001
5.2,4.9,372.1,30.8,3101
4.1,3.3,373.7,31.9,3201
5.9,4.3,372.9,29.9,3301
4.5,4.0,373.0,31.5,3401
4.8,3.4,373.6,31.2,3501
4.9,4.7,373.3,30.1,3601
5.0,3.7,373.3,31.0,3701
