FN,FP,TN,TP,sr
19.3,11.7,365.3,16.7,101
13.5,8.6,368.4,22.5,201
10.1,8.0,369.0,25.9,301
8.4,6.6,370.4,27.6,401
10.6,9.0,368.0,25.4,501
8.8,6.8,370.2,27.2,601
8.8,5.7,371.3,27.2,701
8.9,4.9,372.1,27.1,801
9.3,7.6,369.4,26.7,901
8.5,5.5,371.5,27.5,1001
7.0,5.8,371.2,29.0,1101
7.2,5.7,371.3,28.8,1201
8.4,5.5,371.5,27.6,1301
8.3,7.0,370.0,27.7,1401
6.7,5.0,372.0,29.3,1501
6.7,6.3,370.7,29.3,1601
6.2,4.9,372.1,29.8,1701
8.2,5.2,371.8,27.8,1801
7.5,4.7,372.3,28.5,1901
6.4,4.9,372.1,29.6,2001
7.2,6.9,370.1,28.8,2101
5.6,5.9,371.1,30.4,2201
7.2,5.2,371.8,28.8,2301
8.3,5.8,371.2,27.7,2401
7.0,5.7,371.3,29.0,2501
7.2,4.2,372.8,28.8,2601
5.7,5.9,371.1,30.3,2701
5.0,4.7,372.3,31.0,2801
7.5,4.5,372.5,28.5,2901
6.0,4.1,372.9,30.0,3001
4.7,4.4,372.6,31.3,3101
4.9,6.5,370.5,31.1,3201
4.7,4.0,373.5,30.8,3301
5.2,3.9,373.1,30.8,3401
5.8,5.6,371.4,30.2,3501
5.2,4.4,373.6,29.8,3601
5.4,4.9,372.1,30.6,3701
