FN,FP,TN,TP,sr
15.0,14.2,362.8,21.0,101
11.8,5.4,371.6,24.2,201
12.5,7.5,369.5,23.5,301
9.9,7.7,369.3,26.1,401
10.1,10.8,366.2,25.9,501
11.0,6.4,370.6,25.0,601
8.8,9.3,367.7,27.2,701
10.3,7.0,370.0,25.7,801
7.8,6.3,370.7,28.2,901
7.8,6.4,370.6,28.2,1001
8.1,7.4,369.6,27.9,1101
7.9,5.6,371.4,28.1,1201
8.3,5.0,372.0,27.7,1301
7.8,5.5,371.5,28.2,1401
6.6,5.0,372.0,29.4,1501
6.7,4.8,372.2,29.3,1601
6.0,6.3,370.7,30.0,1701
6.3,4.7,372.3,29.7,1801
6.8,6.0,371.0,29.2,1901
6.6,4.9,372.1,29.4,2001
7.5,5.2,371.8,28.5,2101
7.1,4.0,373.0,28.9,2201
5.9,4.5,372.5,30.1,2301
6.4,3.7,373.3,29.6,2401
7.7,4.1,372.9,28.3,2501
6.6,4.5,372.5,29.4,2601
7.4,4.3,372.7,28.6,2701
6.7,4.3,372.7,29.3,2801
6.2,5.5,371.5,29.8,2901
4.4,3.8,373.2,31.6,3001
5.7,4.7,372.3,30.3,3101
5.3,3.6,373.4,30.7,3201
5.0,4.1,373.5,30.4,3301
6.0,3.9,373.1,30.0,3401
4.5,4.4,372.6,31.5,3501
5.4,4.2,373.8,29.6,3601
4.5,4.8,372.2,31.5,3701
