FN,FP,TN,TP,sr
18.3,7.5,369.5,17.7,101
11.5,6.1,370.9,24.5,201
9.0,8.0,369.0,27.0,301
8.1,6.8,370.2,27.9,401
7.5,7.2,369.8,28.5,501
9.8,7.1,369.9,26.2,601
9.2,5.8,371.2,26.8,701
7.6,7.8,369.2,28.4,801
10.8,6.5,370.5,25.2,901
7.6,6.1,370.9,28.4,1001
7.4,5.9,371.1,28.6,1101
8.9,6.4,370.6,27.1,1201
8.1,7.1,369.9,27.9,1301
9.4,5.5,371.5,26.6,1401
8.0,5.2,371.8,28.0,1501
7.0,5.0,372.0,29.0,1601
6.2,4.3,372.7,29.8,1701
7.1,6.1,370.9,28.9,1801
6.9,5.9,371.1,29.1,1901
7.3,4.2,372.8,28.7,2001
7.7,4.9,372.1,28.3,2101
6.8,4.8,372.2,29.2,2201
6.1,4.2,372.8,29.9,2301
5.3,5.0,372.0,30.7,2401
6.0,5.1,371.9,30.0,2501
6.5,4.6,372.4,29.5,2601
5.7,4.9,372.1,30.3,2701
7.7,5.3,371.7,28.3,2801
5.4,4.2,372.8,30.6,2901
6.0,3.4,373.6,30.0,3001
6.0,5.3,371.7,30.0,3101
4.7,3.7,373.3,31.3,3201
5.6,4.2,373.3,29.9,3301
4.5,4.9,372.1,31.5,3401
5.2,4.9,372.1,30.8,3501
4.9,2.9,375.1,30.1,3601
6.2,3.9,373.1,29.8,3701
