FN,FP,TN,TP,sr
11.5,12.5,364.5,24.5,101
8.4,8.4,368.6,27.6,201
9.9,10.4,366.6,26.1,301
8.3,9.0,368.0,27.7,401
9.6,8.0,369.0,26.4,501
8.9,7.5,369.5,27.1,601
7.4,8.1,368.9,28.6,701
8.2,6.9,370.1,27.8,801
9.5,8.5,368.5,26.5,901
7.6,7.6,369.4,28.4,1001
6.9,7.2,369.8,29.1,1101
6.8,6.2,370.8,29.2,1201
6.5,5.8,371.2,29.5,1301
5.2,7.7,369.3,30.8,1401
6.3,6.6,370.4,29.7,1501
5.2,6.3,370.7,30.8,1601
5.3,6.1,370.9,30.7,1701
7.6,4.6,372.4,28.4,1801
6.1,6.8,370.2,29.9,1901
7.1,5.7,371.3,28.9,2001
6.8,6.8,370.2,29.2,2101
5.5,4.9,372.1,30.5,2201
6.4,5.5,371.5,29.6,2301
5.6,4.9,372.1,30.4,2401
4.9,5.9,371.1,31.1,2501
5.7,5.1,371.9,30.3,2601
6.0,5.3,371.7,30.0,2701
5.8,5.5,371.5,30.2,2801
5.5,6.7,370.3,30.5,2901
5.1,6.1,370.9,30.9,3001
5.5,4.7,372.3,30.5,3101
5.4,3.9,373.1,30.6,3201
5.4,5.3,372.0,30.3,3301
4.6,4.4,372.6,31.4,3401
5.8,4.5,372.5,30.2,3501
4.4,4.3,373.7,30.6,3601
5.4,4.9,372.1,30.6,3701
