FN,FP,TN,TP,sr
33.1,14.7,362.3,2.9,101
22.9,4.5,372.5,13.1,201
12.7,5.7,371.3,23.3,301
11.7,6.3,370.7,24.3,401
7.7,7.2,369.8,28.3,501
9.1,7.0,370.0,26.9,601
9.4,5.8,371.2,26.6,701
6.9,8.0,369.0,29.1,801
7.1,8.1,368.9,28.9,901
7.1,7.1,369.9,28.9,1001
6.0,6.8,370.2,30.0,1101
6.6,5.9,371.1,29.4,1201
7.4,5.8,371.2,28.6,1301
8.1,6.7,370.3,27.9,1401
6.1,8.3,368.7,29.9,1501
7.5,5.0,372.0,28.5,1601
7.1,4.9,372.1,28.9,1701
6.8,6.1,370.9,29.2,1801
5.5,8.4,368.6,30.5,1901
5.4,6.3,370.7,30.6,2001
6.6,7.2,369.8,29.4,2101
8.5,4.4,372.6,27.5,2201
5.6,5.8,371.2,30.4,2301
6.8,7.4,369.6,29.2,2401
7.1,5.7,371.3,28.9,2501
5.8,7.3,369.7,30.2,2601
5.7,5.7,371.3,30.3,2701
7.2,6.1,370.9,28.8,2801
7.5,7.1,369.9,28.5,2901
6.5,7.0,370.0,29.5,3001
7.8,5.6,371.4,28.2,3101
9.5,3.8,373.2,26.5,3201
7.4,5.9,371.6,28.1,3301
8.3,6.1,370.9,27.7,3401
7.9,4.7,372.3,28.1,3501
8.3,5.0,373.0,26.7,3601
6.7,6.3,370.7,29.3,3701
