FN,FP,TN,TP,sr
35.7,4.1,372.9,0.3,101
23.2,6.4,370.6,12.8,201
12.0,6.5,370.5,24.0,301
7.6,7.7,369.3,28.4,401
6.4,7.3,369.7,29.6,501
7.3,8.8,368.2,28.7,601
7.0,7.9,369.1,29.0,701
8.0,8.3,368.7,28.0,801
7.4,7.0,370.0,28.6,901
7.0,7.9,369.1,29.0,1001
8.8,5.2,371.8,27.2,1101
6.7,7.6,369.4,29.3,1201
8.6,7.4,369.6,27.4,1301
7.9,8.4,368.6,28.1,1401
5.7,5.2,371.8,30.3,1501
6.5,7.1,369.9,29.5,1601
6.0,4.1,372.9,30.0,1701
6.6,4.9,372.1,29.4,1801
6.3,6.3,370.7,29.7,1901
6.8,5.3,371.7,29.2,2001
5.2,4.7,372.3,30.8,2101
7.4,5.3,371.7,28.6,2201
6.0,4.7,372.3,30.0,2301
5.9,4.6,372.4,30.1,2401
6.5,3.7,373.3,29.5,2501
5.3,5.3,371.7,30.7,2601
5.8,4.7,372.3,30.2,2701
6.7,3.9,373.1,29.3,2801
5.6,3.1,373.9,30.4,2901
4.0,5.0,372.0,32.0,3001
4.6,3.1,373.9,31.4,3101
4.8,6.2,370.8,31.2,3201
5.8,4.0,373.5,29.7,3301
5.5,4.2,372.8,30.5,3401
5.1,3.7,373.3,30.9,3501
5.4,4.6,373.4,29.6,3601
5.2,4.5,372.5,30.8,3701
