FN,FP,TN,TP,sr
13.0,13.1,363.9,23.0,101
11.8,7.8,369.2,24.2,201
9.9,9.3,367.7,26.1,301
9.4,8.3,368.7,26.6,401
6.8,8.6,368.4,29.2,501
8.2,8.7,368.3,27.8,601
8.5,6.7,370.3,27.5,701
9.3,7.5,369.5,26.7,801
7.7,6.9,370.1,28.3,901
7.8,6.6,370.4,28.2,1001
7.6,8.7,368.3,28.4,1101
7.8,6.2,370.8,28.2,1201
5.8,6.9,370.1,30.2,1301
7.2,6.4,370.6,28.8,1401
7.3,7.4,369.6,28.7,1501
6.4,5.7,371.3,29.6,1601
5.9,6.9,370.1,30.1,1701
5.9,5.1,371.9,30.1,1801
5.6,6.1,370.9,30.4,1901
7.4,4.2,372.8,28.6,2001
7.8,3.5,373.5,28.2,2101
5.3,6.5,370.5,30.7,2201
5.4,6.1,370.9,30.6,2301
5.7,5.7,371.3,30.3,2401
6.4,5.5,371.5,29.6,2501
4.6,4.7,372.3,31.4,2601
5.8,5.0,372.0,30.2,2701
5.8,6.8,370.2,30.2,2801
5.0,5.2,371.8,31.0,2901
6.3,4.9,372.1,29.7,3001
4.7,4.2,372.8,31.3,3101
4.1,5.2,371.8,31.9,3201
4.2,3.3,374.2,31.3,3301
5.4,5.1,371.9,30.6,3401
5.7,6.1,370.9,30.3,3501
4.5,6.1,371.9,30.5,3601
4.6,6.0,371.0,31.4,3701
