FN,FP,MSE,TN,TP,sr
21.0,8.2,0.006178044121603443,368.8,15.0,101
8.3,10.5,0.0011070800989094677,366.5,27.7,201
9.4,6.3,0.001698252613394111,370.7,26.6,301
8.1,6.5,0.0018009608327485542,370.5,27.9,401
9.6,7.3,0.0023530398538681636,369.7,26.4,501
8.1,6.2,0.0023776438236689625,370.8,27.9,601
7.9,7.4,0.0019270591283912799,369.6,28.1,701
7.8,7.1,0.002958318406654588,369.9,28.2,801
7.2,7.6,0.0028559898814832932,369.4,28.8,901
7.4,6.1,0.001895117502015194,370.9,28.6,1001
7.0,5.4,0.002264526971276431,371.6,29.0,1101
8.3,6.3,0.0012830039503891925,370.7,27.7,1201
8.8,4.3,0.0018456724893208536,372.7,27.2,1301
6.8,6.6,0.0018013060160946563,370.4,29.2,1401
7.9,6.3,0.0021229910915161673,370.7,28.1,1501
7.0,5.4,0.001744625222616307,371.6,29.0,1601
6.6,6.3,0.0021708482301159597,370.7,29.4,1701
6.3,7.5,0.001081395765824902,369.5,29.7,1801
6.1,5.5,0.001798444898547629,371.5,29.9,1901
6.4,5.6,0.0011277713912527874,371.4,29.6,2001
5.5,4.7,0.00128279334182303,372.3,30.5,2101
7.5,5.7,0.001616505419901462,371.3,28.5,2201
6.5,4.7,0.002339055565505724,372.3,29.5,2301
4.2,6.1,0.0015658230322030363,370.9,31.8,2401
5.6,5.6,0.0012771740762129126,371.4,30.4,2501
5.2,5.0,0.000689021513117274,372.0,30.8,2601
5.6,5.3,0.0017385223954229604,371.7,30.4,2701
5.8,5.6,0.0012406333971212134,371.4,30.2,2801
7.2,4.5,0.0007957070004690869,372.5,28.8,2901
5.3,3.2,0.000984856421564584,373.8,30.7,3001
5.9,4.6,0.0013365584278768354,372.4,30.1,3101
5.7,4.1,0.0015593796956460525,372.9,30.3,3201
4.9,4.0,0.0007512686560450341,373.4,30.7,3301
4.6,5.2,0.0009786997742482798,371.8,31.4,3401
4.7,4.5,0.001154279963211918,372.5,31.3,3501
4.7,5.1,0.0012534354862621306,372.9,30.3,3601
4.6,3.6,0.0010384672022319492,373.4,31.4,3701
