FN,FP,MSE,TN,TP,sr
13.8,12.2,0.0036394512489164046,364.8,22.2,101
7.8,10.4,0.0029348088661704597,366.6,28.2,201
7.5,7.6,0.0021759709622455816,369.4,28.5,301
7.1,9.9,0.002963203075389993,367.1,28.9,401
9.4,4.3,0.0014170143156679795,372.7,26.6,501
9.7,6.2,0.0019955452425970805,370.8,26.3,601
9.0,8.4,0.00220922007916951,368.6,27.0,701
7.7,5.5,0.001740084528708935,371.5,28.3,801
8.4,7.0,0.0020027844885392105,370.0,27.6,901
7.8,7.0,0.0024668030923020523,370.0,28.2,1001
8.2,6.2,0.0020268642981103773,370.8,27.8,1101
8.3,5.9,0.0015999945089692409,371.1,27.7,1201
7.0,4.8,0.0018379118200293175,372.2,29.0,1301
7.1,7.0,0.003283067026296513,370.0,28.9,1401
8.6,7.5,0.0031587469791749456,369.5,27.4,1501
7.2,6.1,0.001581076880717076,370.9,28.8,1601
6.2,5.3,0.0018196505978308546,371.7,29.8,1701
7.5,5.2,0.0017189608698653428,371.8,28.5,1801
4.8,5.0,0.0017400534362406299,372.0,31.2,1901
6.4,5.7,0.0008933183970280117,371.3,29.6,2001
6.6,5.6,0.0013495581551916272,371.4,29.4,2101
7.2,4.4,0.0020681693862238436,372.6,28.8,2201
6.0,4.3,0.0009389027002038662,372.7,30.0,2301
5.6,5.2,0.0015330012568650969,371.8,30.4,2401
5.5,6.0,0.0016405898601366104,371.0,30.5,2501
4.6,3.6,0.0009571258872405075,373.4,31.4,2601
5.6,4.6,0.0009756670251115389,372.4,30.4,2701
5.3,6.3,0.0016245625018805564,370.7,30.7,2801
5.9,3.9,0.0015887846125923928,373.1,30.1,2901
4.5,5.8,0.0009256429121361586,371.2,31.5,3001
4.7,4.4,0.0009317636001422779,372.6,31.3,3101
5.2,4.6,0.00139834754771152,372.4,30.8,3201
6.2,4.8,0.0019993343947276583,372.7,29.3,3301
4.8,4.9,0.001787439077020363,372.1,31.2,3401
6.4,4.4,0.0022416215927840476,372.6,29.6,3501
6.5,2.9,0.0015263977073847117,375.1,28.5,3601
4.8,4.3,0.0011969670025959367,372.7,31.2,3701
