FN,FP,TN,TP,sr
18.1,9.8,367.2,17.9,101
8.9,8.5,368.5,27.1,201
10.0,8.5,368.5,26.0,301
11.9,8.4,368.6,24.1,401
9.8,6.8,370.2,26.2,501
9.0,7.0,370.0,27.0,601
10.0,5.3,371.7,26.0,701
10.8,5.9,371.1,25.2,801
7.8,7.0,370.0,28.2,901
7.5,6.7,370.3,28.5,1001
6.7,6.6,370.4,29.3,1101
7.5,6.0,371.0,28.5,1201
7.8,4.4,372.6,28.2,1301
8.6,5.6,371.4,27.4,1401
8.1,6.7,370.3,27.9,1501
5.9,4.6,372.4,30.1,1601
6.6,4.6,372.4,29.4,1701
9.7,4.7,372.3,26.3,1801
7.0,5.9,371.1,29.0,1901
6.9,4.5,372.5,29.1,2001
6.0,6.7,370.3,30.0,2101
6.7,5.0,372.0,29.3,2201
5.6,5.4,371.6,30.4,2301
5.8,4.5,372.5,30.2,2401
5.7,6.2,370.8,30.3,2501
5.6,3.6,373.4,30.4,2601
5.4,5.3,371.7,30.6,2701
5.9,3.0,374.0,30.1,2801
5.3,3.9,373.1,30.7,2901
5.2,3.6,373.4,30.8,3001
6.8,3.8,373.2,29.2,3101
6.2,4.1,372.9,29.8,3201
5.2,4.0,373.4,30.4,3301
5.6,4.1,372.9,30.4,3401
5.5,4.4,372.6,30.5,3501
5.0,4.1,373.9,30.0,3601
5.9,4.7,372.3,30.1,3701
