FN,FP,MSE,TN,TP,sr
25.0,12.5,0.0037384017409500133,364.5,11.0,101
11.1,10.6,0.003003910076055538,366.4,24.9,201
9.0,6.9,0.0019026147988063058,370.1,27.0,301
7.3,8.1,0.0023804005861440426,368.9,28.7,401
8.7,8.2,0.003239801818573419,368.8,27.3,501
7.2,8.2,0.0022253576472962065,368.8,28.8,601
9.5,6.0,0.0016291691654839319,371.0,26.5,701
7.5,6.7,0.0022965875199540036,370.3,28.5,801
8.4,6.1,0.00187143530331101,370.9,27.6,901
8.5,5.5,0.0015648391659111814,371.5,27.5,1001
8.1,6.1,0.0024736178061635864,370.9,27.9,1101
6.7,6.1,0.0011253113301511175,370.9,29.3,1201
7.2,6.3,0.001660874028941745,370.7,28.8,1301
6.8,4.4,0.0011434956945330704,372.6,29.2,1401
6.6,7.4,0.0026778547439978906,369.6,29.4,1501
8.0,5.6,0.0015808844035970799,371.4,28.0,1601
7.1,5.5,0.0016944848793522128,371.5,28.9,1701
7.5,5.5,0.001106048924585757,371.5,28.5,1801
5.5,6.7,0.0016577680952753217,370.3,30.5,1901
5.8,5.4,0.001279200690415464,371.6,30.2,2001
5.8,5.6,0.0022941734696170944,371.4,30.2,2101
7.5,4.3,0.0016039018472634396,372.7,28.5,2201
5.3,5.0,0.0012484652556106592,372.0,30.7,2301
5.8,5.9,0.001966885288352937,371.1,30.2,2401
5.6,6.4,0.0015953651213997024,370.6,30.4,2501
6.3,5.2,0.0012899175853871244,371.8,29.7,2601
5.7,5.3,0.0016782945479245632,371.7,30.3,2701
5.3,5.7,0.001184915360748822,371.3,30.7,2801
6.0,4.7,0.0018871150517246207,372.3,30.0,2901
5.8,4.7,0.0013424589326146775,372.3,30.2,3001
5.9,5.1,0.0018064870530797156,371.9,30.1,3101
4.5,5.2,0.0012203862098359762,371.8,31.5,3201
6.8,5.7,0.0019002159336141747,371.7,28.8,3301
6.3,4.3,0.001272618979198456,372.7,29.7,3401
4.8,5.2,0.0006277624284889773,371.8,31.2,3501
6.0,4.6,0.001946177049609113,373.4,29.0,3601
6.3,3.6,0.0014219536015016565,373.4,29.7,3701
