FN,FP,TN,TP,sr
33.6,18.6,358.4,2.4,101
20.7,4.0,373.0,15.3,201
10.1,7.8,369.2,25.9,301
10.1,5.2,371.8,25.9,401
6.8,7.8,369.2,29.2,501
9.3,6.6,370.4,26.7,601
8.4,6.5,370.5,27.6,701
9.4,7.1,369.9,26.6,801
7.3,5.0,372.0,28.7,901
6.4,5.8,371.2,29.6,1001
8.5,4.8,372.2,27.5,1101
7.4,6.3,370.7,28.6,1201
9.2,5.0,372.0,26.8,1301
6.3,5.3,371.7,29.7,1401
6.0,3.8,373.2,30.0,1501
7.0,4.4,372.6,29.0,1601
7.5,4.9,372.1,28.5,1701
8.2,4.9,372.1,27.8,1801
7.4,6.1,370.9,28.6,1901
6.9,5.7,371.3,29.1,2001
6.5,5.1,371.9,29.5,2101
5.6,4.4,372.6,30.4,2201
6.4,5.0,372.0,29.6,2301
6.5,4.3,372.7,29.5,2401
6.2,4.7,372.3,29.8,2501
5.5,4.1,372.9,30.5,2601
6.7,4.0,373.0,29.3,2701
5.4,4.4,372.6,30.6,2801
5.9,4.6,372.4,30.1,2901
3.9,2.6,374.4,32.1,3001
5.5,5.9,371.1,30.5,3101
5.6,4.2,372.8,30.4,3201
5.2,5.1,372.5,30.2,3301
5.1,3.5,373.5,30.9,3401
5.4,4.4,372.6,30.6,3501
5.1,3.6,374.4,29.9,3601
4.3,4.4,372.6,31.7,3701
