FN,FP,MSE,TN,TP,sr
11.1,12.8,0.0025887717480205814,364.2,24.9,101
10.0,7.7,0.003810874525648911,369.3,26.0,201
9.7,7.6,0.003574001210653753,369.4,26.3,301
8.0,10.8,0.002805727465997095,366.2,28.0,401
7.3,10.0,0.003736429658546247,367.0,28.7,501
9.9,7.8,0.0028692493946731235,369.2,26.1,601
7.9,8.3,0.00206576577108184,368.7,28.1,701
8.6,8.3,0.0021705377323409203,368.7,27.4,801
8.1,9.5,0.0038193419923292977,367.5,27.9,901
8.5,8.0,0.0030686074902101694,369.0,27.5,1001
7.4,6.1,0.0021796290280439116,370.9,28.6,1101
6.1,7.3,0.0018568669882641294,369.7,29.9,1201
8.0,6.5,0.0023311608984647706,370.5,28.0,1301
6.6,6.4,0.002139708820876476,370.6,29.4,1401
6.1,7.6,0.0024238952586400136,369.4,29.9,1501
6.3,7.8,0.0014436842612467978,369.2,29.7,1601
7.1,5.1,0.003461547397729538,371.9,28.9,1701
5.5,5.7,0.0008042500950042064,371.3,30.5,1801
6.7,6.2,0.0021456070358744643,370.8,29.3,1901
6.0,5.1,0.002073571262194291,371.9,30.0,2001
5.4,6.5,0.002755356262859557,370.5,30.6,2101
5.9,4.7,0.000724295558028966,372.3,30.1,2201
5.7,5.8,0.0015089362480106114,371.2,30.3,2301
5.0,5.1,0.0011658983488955148,371.9,31.0,2401
6.4,3.4,0.0010610316494699882,373.6,29.6,2501
5.6,5.1,0.0020943381898066186,371.9,30.4,2601
7.1,4.3,0.001456145715334466,372.7,28.9,2701
5.8,4.6,0.0016487971462236892,372.4,30.2,2801
4.3,3.8,0.0014209786048570813,373.2,31.7,2901
5.2,4.4,0.0020790812525820746,372.6,30.8,3001
5.1,5.1,0.001252460021169567,371.9,30.9,3101
4.4,4.8,0.0013070034063846696,372.2,31.6,3201
4.1,4.2,0.0010536037608330523,373.5,31.2,3301
4.9,5.0,0.0007936818216253583,372.0,31.1,3401
4.0,4.9,0.0011197497158668252,372.1,32.0,3501
5.3,5.6,0.0013987533112319883,372.4,29.7,3601
5.1,4.7,0.002107456774330969,372.3,30.9,3701
