FN,FP,TN,TP,sr
33.9,20.1,356.9,2.1,101
21.1,8.0,369.0,14.9,201
11.3,11.1,365.9,24.7,301
10.0,7.2,369.8,26.0,401
8.7,6.4,370.6,27.3,501
6.9,7.7,369.3,29.1,601
6.9,8.6,368.4,29.1,701
8.9,8.3,368.7,27.1,801
5.8,6.2,370.8,30.2,901
6.7,5.8,371.2,29.3,1001
8.6,5.2,371.8,27.4,1101
7.0,7.2,369.8,29.0,1201
6.8,8.0,369.0,29.2,1301
6.7,5.5,371.5,29.3,1401
7.0,5.0,372.0,29.0,1501
6.3,5.4,371.6,29.7,1601
5.2,5.4,371.6,30.8,1701
6.6,5.9,371.1,29.4,1801
5.8,5.3,371.7,30.2,1901
7.0,5.1,371.9,29.0,2001
7.7,4.8,372.2,28.3,2101
7.1,4.9,372.1,28.9,2201
6.5,4.1,372.9,29.5,2301
6.0,3.2,373.8,30.0,2401
7.9,3.4,373.6,28.1,2501
6.2,4.6,372.4,29.8,2601
5.5,4.1,372.9,30.5,2701
5.4,4.4,372.6,30.6,2801
4.1,4.6,372.4,31.9,2901
6.1,4.1,372.9,29.9,3001
5.0,4.3,372.7,31.0,3101
5.2,4.1,372.9,30.8,3201
6.1,3.1,374.3,29.5,3301
5.7,4.2,372.8,30.3,3401
4.6,4.3,372.7,31.4,3501
3.7,5.0,373.0,31.3,3601
4.6,3.6,373.4,31.4,3701
