TN,FN,TP,FP,sr
6.477777777777778,2.6888888888888887,6.311111111111111,2.522222222222222,2
7.800000000000001,0.7666666666666667,8.122222222222224,1.311111111111111,11
8.58888888888889,0.5333333333333334,8.244444444444447,0.6333333333333333,20
8.344444444444443,0.47777777777777775,8.41111111111111,0.7666666666666666,29
8.555555555555555,0.5111111111111112,8.488888888888889,0.4444444444444444,38
8.655555555555557,0.5666666666666667,8.322222222222223,0.4555555555555556,47
8.733333333333334,0.5777777777777778,8.2,0.4888888888888888,56
8.622222222222222,0.5555555555555556,8.333333333333334,0.4888888888888888,65
8.377777777777778,0.5,8.5,0.6222222222222222,74
8.777777777777779,0.37777777777777777,8.511111111111111,0.33333333333333337,83
8.788888888888888,0.4,8.377777777777778,0.43333333333333335,92
8.533333333333333,0.43333333333333335,8.455555555555556,0.577777777777778,101
8.633333333333333,0.31111111111111117,8.68888888888889,0.36666666666666664,110
8.588888888888889,0.5888888888888889,8.3,0.5222222222222223,119
8.777777777777777,0.4666666666666668,8.31111111111111,0.4444444444444444,128
8.655555555555557,0.4222222222222223,8.466666666666667,0.4555555555555556,137
8.477777777777778,0.388888888888889,8.61111111111111,0.5222222222222221,146
8.855555555555556,0.3555555555555556,8.422222222222222,0.36666666666666664,155
