TN,FN,TP,FP,sr
74.6,2.06,177.14000000000001,2.2,130
75.88000000000001,1.46,177.74,0.9199999999999997,258
75.42,1.46,177.74,1.38,386
75.96000000000001,0.78,178.42000000000002,0.8400000000000001,514
75.64,1.26,177.93999999999997,1.16,642
76.24,0.68,178.52,0.56,770
75.8,0.8800000000000001,178.51999999999998,0.8,898
75.67999999999999,1.2200000000000002,177.98,1.1199999999999999,1026
75.67999999999999,0.8800000000000001,178.32,1.1199999999999999,1154
76.02000000000001,1.06,178.14000000000001,0.78,1282
75.96000000000001,0.9399999999999998,178.26000000000002,0.8399999999999999,1410
75.97999999999999,0.8399999999999999,178.35999999999999,0.8200000000000001,1538
75.8,0.78,178.62,0.8,1666
76.08000000000001,0.8600000000000001,178.34,0.7200000000000001,1794
76.02000000000001,0.74,178.46,0.78,1922
76.0,0.78,178.61999999999998,0.6000000000000001,2050
76.5,0.86,178.14,0.5,2178
