TN,FN,TP,FP,sr
466.8444444444445,204.49999999999997,469.8333333333333,207.82222222222222,2
626.9444444444445,48.300000000000004,626.1444444444444,47.61111111111111,676
644.588888888889,33.13333333333333,641.2,30.077777777777776,1350
652.5999999999999,26.12222222222222,648.3222222222223,21.95555555555556,2024
656.4888888888888,25.11111111111111,649.2222222222222,18.177777777777777,2698
658.6222222222223,23.244444444444444,651.088888888889,16.04444444444444,3372
660.7222222222222,22.422222222222224,652.0222222222222,13.833333333333334,4046
663.3777777777777,23.355555555555554,650.9777777777776,11.28888888888889,4720
664.0777777777779,22.22222222222222,652.2222222222222,10.477777777777778,5394
664.9666666666666,21.322222222222223,653.0111111111112,9.700000000000001,6068
665.8444444444444,21.366666666666667,653.0777777777778,8.71111111111111,6742
666.588888888889,22.022222222222222,652.3111111111111,8.077777777777776,7416
666.4333333333334,22.400000000000002,652.0444444444444,8.122222222222222,8090
667.2444444444445,21.788888888888888,652.5444444444444,7.422222222222222,8764
667.9111111111112,21.577777777777776,652.7555555555556,6.7555555555555555,9438
667.8444444444444,22.388888888888886,652.0555555555555,6.711111111111111,10112
668.0111111111112,21.68888888888889,652.6444444444445,6.655555555555555,10786
668.3666666666667,21.544444444444444,652.7888888888889,6.3,11460
668.4333333333333,21.82222222222222,652.4000000000001,6.344444444444444,12134
