FN,FP,TN,TP,sr
16.7,11.6,365.4,19.3,81
10.9,8.0,369.0,25.1,162
8.6,9.6,367.4,27.4,243
9.6,10.5,366.5,26.4,324
9.6,8.5,368.5,26.4,405
