class_weight,criterion,file,max_depth,max_features,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,presort,random_state,results,splitter
,mse,dataset,,,50,1e-07,10,2,0.0,False,,./data2/video-0030-regression.csv,best
,entropy,dataset,,,60,1e-07,1,2,0.0,False,,./data2/video-0031-classification.csv,best
,mse,dataset,,,60,1e-07,1,2,0.0,False,,./data2/video-0031-regression.csv,best
,entropy,dataset,,,60,1e-07,2,2,0.0,False,,./data2/video-0032-classification.csv,best
,mse,dataset,,,60,1e-07,2,2,0.0,False,,./data2/video-0032-regression.csv,best
,entropy,dataset,,,60,1e-07,4,2,0.0,False,,./data2/video-0033-classification.csv,best
,mse,dataset,,,60,1e-07,4,2,0.0,False,,./data2/video-0033-regression.csv,best
,entropy,dataset,,,60,1e-07,6,2,0.0,False,,./data2/video-0034-classification.csv,best
,mse,dataset,,,60,1e-07,6,2,0.0,False,,./data2/video-0034-regression.csv,best
,entropy,dataset,,,60,1e-07,8,2,0.0,False,,./data2/video-0035-classification.csv,best
,mse,dataset,,,60,1e-07,8,2,0.0,False,,./data2/video-0035-regression.csv,best
,entropy,dataset,,,60,1e-07,10,2,0.0,False,,./data2/video-0036-classification.csv,best
,mse,dataset,,,60,1e-07,10,2,0.0,False,,./data2/video-0036-regression.csv,best
,entropy,dataset,,,70,1e-07,1,2,0.0,False,,./data2/video-0037-classification.csv,best
,mse,dataset,,,70,1e-07,1,2,0.0,False,,./data2/video-0037-regression.csv,best
,entropy,dataset,,,70,1e-07,2,2,0.0,False,,./data2/video-0038-classification.csv,best
,mse,dataset,,,70,1e-07,2,2,0.0,False,,./data2/video-0038-regression.csv,best
,entropy,dataset,,,70,1e-07,4,2,0.0,False,,./data2/video-0039-classification.csv,best
,mse,dataset,,,70,1e-07,4,2,0.0,False,,./data2/video-0039-regression.csv,best
,entropy,dataset,,,70,1e-07,6,2,0.0,False,,./data2/video-0040-classification.csv,best
,mse,dataset,,,70,1e-07,6,2,0.0,False,,./data2/video-0040-regression.csv,best
,entropy,dataset,,,70,1e-07,8,2,0.0,False,,./data2/video-0041-classification.csv,best
,mse,dataset,,,70,1e-07,8,2,0.0,False,,./data2/video-0041-regression.csv,best
,entropy,dataset,,,70,1e-07,10,2,0.0,False,,./data2/video-0042-classification.csv,best
,mse,dataset,,,70,1e-07,10,2,0.0,False,,./data2/video-0042-regression.csv,best
,entropy,dataset,,,80,1e-07,1,2,0.0,False,,./data2/video-0043-classification.csv,best
,mse,dataset,,,80,1e-07,1,2,0.0,False,,./data2/video-0043-regression.csv,best
,entropy,dataset,,,80,1e-07,2,2,0.0,False,,./data2/video-0044-classification.csv,best
,mse,dataset,,,80,1e-07,2,2,0.0,False,,./data2/video-0044-regression.csv,best
,entropy,dataset,,,80,1e-07,4,2,0.0,False,,./data2/video-0045-classification.csv,best
,mse,dataset,,,80,1e-07,4,2,0.0,False,,./data2/video-0045-regression.csv,best
,entropy,dataset,,,80,1e-07,6,2,0.0,False,,./data2/video-0046-classification.csv,best
,mse,dataset,,,80,1e-07,6,2,0.0,False,,./data2/video-0046-regression.csv,best
,entropy,dataset,,,80,1e-07,8,2,0.0,False,,./data2/video-0047-classification.csv,best
,mse,dataset,,,80,1e-07,8,2,0.0,False,,./data2/video-0047-regression.csv,best
,entropy,dataset,,,80,1e-07,10,2,0.0,False,,./data2/video-0048-classification.csv,best
,mse,dataset,,,80,1e-07,10,2,0.0,False,,./data2/video-0048-regression.csv,best
,entropy,dataset,,,90,1e-07,1,2,0.0,False,,./data2/video-0049-classification.csv,best
,mse,dataset,,,90,1e-07,1,2,0.0,False,,./data2/video-0049-regression.csv,best
,entropy,dataset,,,90,1e-07,2,2,0.0,False,,./data2/video-0050-classification.csv,best
,mse,dataset,,,90,1e-07,2,2,0.0,False,,./data2/video-0050-regression.csv,best
,entropy,dataset,,,90,1e-07,4,2,0.0,False,,./data2/video-0051-classification.csv,best
,mse,dataset,,,90,1e-07,4,2,0.0,False,,./data2/video-0051-regression.csv,best
,entropy,dataset,,,90,1e-07,6,2,0.0,False,,./data2/video-0052-classification.csv,best
,mse,dataset,,,90,1e-07,6,2,0.0,False,,./data2/video-0052-regression.csv,best
,entropy,dataset,,,90,1e-07,8,2,0.0,False,,./data2/video-0053-classification.csv,best
,mse,dataset,,,90,1e-07,8,2,0.0,False,,./data2/video-0053-regression.csv,best
,entropy,dataset,,,90,1e-07,10,2,0.0,False,,./data2/video-0054-classification.csv,best
,mse,dataset,,,90,1e-07,10,2,0.0,False,,./data2/video-0054-regression.csv,best
,entropy,dataset,10.0,,10,1e-07,1,2,0.0,False,,./data2/video-0055-classification.csv,best
,mse,dataset,10.0,,10,1e-07,1,2,0.0,False,,./data2/video-0055-regression.csv,best
,entropy,dataset,10.0,,10,1e-07,2,2,0.0,False,,./data2/video-0056-classification.csv,best
,mse,dataset,10.0,,10,1e-07,2,2,0.0,False,,./data2/video-0056-regression.csv,best
,entropy,dataset,10.0,,10,1e-07,4,2,0.0,False,,./data2/video-0057-classification.csv,best
,mse,dataset,10.0,,10,1e-07,4,2,0.0,False,,./data2/video-0057-regression.csv,best
,entropy,dataset,10.0,,10,1e-07,6,2,0.0,False,,./data2/video-0058-classification.csv,best
,mse,dataset,10.0,,10,1e-07,6,2,0.0,False,,./data2/video-0058-regression.csv,best
,entropy,dataset,10.0,,10,1e-07,8,2,0.0,False,,./data2/video-0059-classification.csv,best
,mse,dataset,10.0,,10,1e-07,8,2,0.0,False,,./data2/video-0059-regression.csv,best
,entropy,dataset,10.0,,10,1e-07,10,2,0.0,False,,./data2/video-0060-classification.csv,best
,mse,dataset,10.0,,10,1e-07,10,2,0.0,False,,./data2/video-0060-regression.csv,best
,entropy,dataset,10.0,,20,1e-07,1,2,0.0,False,,./data2/video-0061-classification.csv,best
,mse,dataset,10.0,,20,1e-07,1,2,0.0,False,,./data2/video-0061-regression.csv,best
,entropy,dataset,10.0,,20,1e-07,2,2,0.0,False,,./data2/video-0062-classification.csv,best
,mse,dataset,10.0,,20,1e-07,2,2,0.0,False,,./data2/video-0062-regression.csv,best
,entropy,dataset,10.0,,20,1e-07,4,2,0.0,False,,./data2/video-0063-classification.csv,best
,mse,dataset,10.0,,20,1e-07,4,2,0.0,False,,./data2/video-0063-regression.csv,best
,entropy,dataset,10.0,,20,1e-07,6,2,0.0,False,,./data2/video-0064-classification.csv,best
,mse,dataset,10.0,,20,1e-07,6,2,0.0,False,,./data2/video-0064-regression.csv,best
,entropy,dataset,10.0,,20,1e-07,8,2,0.0,False,,./data2/video-0065-classification.csv,best
,mse,dataset,10.0,,20,1e-07,8,2,0.0,False,,./data2/video-0065-regression.csv,best
,entropy,dataset,10.0,,20,1e-07,10,2,0.0,False,,./data2/video-0066-classification.csv,best
,mse,dataset,10.0,,20,1e-07,10,2,0.0,False,,./data2/video-0066-regression.csv,best
,entropy,dataset,10.0,,30,1e-07,1,2,0.0,False,,./data2/video-0067-classification.csv,best
,mse,dataset,10.0,,30,1e-07,1,2,0.0,False,,./data2/video-0067-regression.csv,best
,entropy,dataset,10.0,,30,1e-07,2,2,0.0,False,,./data2/video-0068-classification.csv,best
,mse,dataset,10.0,,30,1e-07,2,2,0.0,False,,./data2/video-0068-regression.csv,best
,entropy,dataset,10.0,,30,1e-07,4,2,0.0,False,,./data2/video-0069-classification.csv,best
,mse,dataset,10.0,,30,1e-07,4,2,0.0,False,,./data2/video-0069-regression.csv,best
,entropy,dataset,10.0,,30,1e-07,6,2,0.0,False,,./data2/video-0070-classification.csv,best
,mse,dataset,10.0,,30,1e-07,6,2,0.0,False,,./data2/video-0070-regression.csv,best
,entropy,dataset,10.0,,30,1e-07,8,2,0.0,False,,./data2/video-0071-classification.csv,best
,mse,dataset,10.0,,30,1e-07,8,2,0.0,False,,./data2/video-0071-regression.csv,best
,entropy,dataset,10.0,,30,1e-07,10,2,0.0,False,,./data2/video-0072-classification.csv,best
,mse,dataset,10.0,,30,1e-07,10,2,0.0,False,,./data2/video-0072-regression.csv,best
,entropy,dataset,10.0,,40,1e-07,1,2,0.0,False,,./data2/video-0073-classification.csv,best
,mse,dataset,10.0,,40,1e-07,1,2,0.0,False,,./data2/video-0073-regression.csv,best
,entropy,dataset,10.0,,40,1e-07,2,2,0.0,False,,./data2/video-0074-classification.csv,best
