FN,FP,TN,TP,sr
35.1,0.8,376.2,0.9,81
32.1,3.1,373.9,3.9,162
16.7,9.3,367.7,19.3,243
10.8,6.7,370.3,25.2,324
10.8,4.9,372.1,25.2,405
